Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,Month.year,Creek,Station,Bio.rep,Tech.rep,Dilution.factor,Type,rc
2,NGN0131,MiFish.0321.1Prt.Up.1,MiFish,A,37,321,1Prt,Up,1,1,100,sample,0
2,NGN0132,MiFish.0321.2Brn.Dn.3,MiFish,A,38,321,2Brn,Dn,3,1,1,sample,0
2,NGN0133,MiFish.0321.3Chk.Dn.1,MiFish,A,39,321,3Chk,Dn,1,1,10,sample,0
2,NGN0134,MiFish.0321.3Chk.Dn.3,MiFish,A,40,321,3Chk,Dn,3,1,10,sample,0
2,NGN0135,MiFish.0321.3Chk.Up.2,MiFish,A,41,321,3Chk,Up,2,1,10,sample,0
2,NGN0136,MiFish.0321.4Pad.Dn.2,MiFish,A,42,321,4Pad,Dn,2,1,1,sample,0
2,NGN0137,MiFish.0321.4Pad.Dn.3,MiFish,A,43,321,4Pad,Dn,3,1,1,sample,0
2,NGN0138,MiFish.0321.4Pad.Up11.1,MiFish,A,44,321,4Pad,Up11,1,1,1,sample,0
2,NGN0139,MiFish.0321.4Pad.Up11.3,MiFish,A,45,321,4Pad,Up11,3,1,1,sample,0
2,NGN0140,MiFish.0321.4Pad.Up5.1,MiFish,A,46,321,4Pad,Up5,1,1,1,sample,0
2,NGN0141,MiFish.0321.4Pad.Up5.2,MiFish,A,47,321,4Pad,Up5,2,1,1,sample,0
2,NGN0142,MiFish.0321.4Pad.Up5.3,MiFish,A,48,321,4Pad,Up5,3,1,10,sample,0
2,NGN0143,MiFish.0321.5Sqm.Dn.3,MiFish,A,49,321,5Sqm,Dn,3,1,1,sample,0
2,NGN0144,MiFish.0321.5Sqm.Up.1,MiFish,A,50,321,5Sqm,Up,1,1,1,sample,0
2,NGN0145,MiFish.0421.1Prt.Dn.1,MiFish,A,51,421,1Prt,Dn,1,1,100,sample,0
2,NGN0146,MiFish.0421.1Prt.Dn.3,MiFish,A,52,421,1Prt,Dn,3,1,10,sample,0
2,NGN0147,MiFish.0421.2Brn.Dn.2,MiFish,A,53,421,2Brn,Dn,2,1,1,sample,0
2,NGN0148,MiFish.0421.2Brn.Dn.3,MiFish,A,54,421,2Brn,Dn,3,1,1,sample,0
2,NGN0149,MiFish.0421.2Brn.Up.2,MiFish,A,55,421,2Brn,Up,2,1,1,sample,0
2,NGN0150,MiFish.0421.3Chk.Dn.1,MiFish,A,56,421,3Chk,Dn,1,1,10,sample,0
