Community,Species,Start
MC1-Even-Tissue-noGB,Oncorhynchus clarkii,50.00
MC1-Even-Tissue-noGB,Oncorhynchus kisutch,50.00
MC1-Even-Tissue-noGB,Oncorhynchus tschawtscha,50.00
MC1-Even-Tissue-noGB,Oncorhynchus nerka,50.00
MC1-Even-Tissue-noGB,Oncorhynchus mykiss,50.00
MC1-Even-Tissue-noGB,Oncorhynchus keta,0.00
MC1-Even-Tissue-noGB,Oncorhynchus gorbuscha,50.00
MC1-Even-Tissue-noGB,Salmo trutta,50.00
MC1-Even-Tissue-noGB,Salvelinus malma,50.00
MC1-Even-Tissue-noGB,Entosphenus tridentatus,50.00
MC1-Even-Tissue-noGB,Lampetra ayresii,50.00
MC1-Even-Tissue-noGB,Cottus asper,50.00
MC1-Even-Tissue-noGB,Cottus marginatus,50.00
MC1-Even-Tissue-noGB,Salvelinus confluentus,0.00
MC1-Even-Tissue-noGB,Castor canadensis,0.00
MC1-Even-Tissue-noGB,Perca flavescens,0.00
MC1-Even-Tissue-noGB,Turdus migratorius,0.00
MC1-Even-Tissue-noGB,Ameiurus nebulosus,0.00
MC1-Even-Tissue-noGB,Sus scrofa,0.00
MC1-Even-Tissue-noGB,Gasterosteus aculeatus,0.00
MC1-Even-Tissue-noGB,Taricha granulosa,0.00
MC1-Even-Tissue-noGB,Osphranter rufus,0.00
MC1-Even-Tissue-noGB,Ondatra zibethicus,0.00
MC1-Even-Tissue-noGB,Aplodontia rufa,0.00
MC1-Even-Tissue-noGB,Felis catus,0.00
MC1-Even-Tissue-noGB,Rana pretiosa,0.00
MC1-Even-Tissue-noGB,Ascaphus truei,0.00
MC1-Even-Tissue-noGB,Novumbra hubbsi,0.00
MC1-Even-Tissue-noGB,Procyon lotor,0.00
MC1-Even-Tissue-noGB,Rana catesbeiana,0.00
MC1-Even-Tissue-noGB,Micropterus salmoides,0.00
MC1-Even-Tissue-noGB,Bos taurus,0.00
MC1-Even-Tissue-noGB,Lynx rufus,0.00
MC1-Even-Tissue-noGB,Didelphis virginiana,0.00
MC1-Even-Tissue-noGB,Neurotrichus gibbsii,0.00
MC1-Even-Tissue-noGB,Scapanus orarius,0.00
MC1-Even-Tissue-noGB,Neovison vison,0.00
MC1-Even-Tissue-noGB,Anaxyrus boreas,0.00
MC1-Even-Tissue-noGB,Ardea herodias,0.00
MC1-Even-Tissue-noGB,MammothGB,0.00
MC1-Even-Tissue-noGB,RandomGB,0.00
MC1-Even-Tissue-GB,Oncorhynchus clarkii,50.00
MC1-Even-Tissue-GB,Oncorhynchus kisutch,50.00
MC1-Even-Tissue-GB,Oncorhynchus tschawtscha,50.00
MC1-Even-Tissue-GB,Oncorhynchus nerka,50.00
MC1-Even-Tissue-GB,Oncorhynchus mykiss,50.00
MC1-Even-Tissue-GB,Oncorhynchus keta,0.00
MC1-Even-Tissue-GB,Oncorhynchus gorbuscha,50.00
MC1-Even-Tissue-GB,Salmo trutta,50.00
MC1-Even-Tissue-GB,Salvelinus malma,50.00
MC1-Even-Tissue-GB,Entosphenus tridentatus,50.00
MC1-Even-Tissue-GB,Lampetra ayresii,50.00
MC1-Even-Tissue-GB,Cottus asper,50.00
MC1-Even-Tissue-GB,Cottus marginatus,50.00
MC1-Even-Tissue-GB,Salvelinus confluentus,0.00
MC1-Even-Tissue-GB,Castor canadensis,0.00
MC1-Even-Tissue-GB,Perca flavescens,0.00
MC1-Even-Tissue-GB,Turdus migratorius,0.00
MC1-Even-Tissue-GB,Ameiurus nebulosus,0.00
MC1-Even-Tissue-GB,Sus scrofa,0.00
MC1-Even-Tissue-GB,Gasterosteus aculeatus,0.00
MC1-Even-Tissue-GB,Taricha granulosa,0.00
MC1-Even-Tissue-GB,Osphranter rufus,0.00
MC1-Even-Tissue-GB,Ondatra zibethicus,0.00
MC1-Even-Tissue-GB,Aplodontia rufa,0.00
MC1-Even-Tissue-GB,Felis catus,0.00
MC1-Even-Tissue-GB,Rana pretiosa,0.00
MC1-Even-Tissue-GB,Ascaphus truei,0.00
MC1-Even-Tissue-GB,Novumbra hubbsi,0.00
MC1-Even-Tissue-GB,Procyon lotor,0.00
MC1-Even-Tissue-GB,Rana catesbeiana,0.00
MC1-Even-Tissue-GB,Micropterus salmoides,0.00
MC1-Even-Tissue-GB,Bos taurus,0.00
MC1-Even-Tissue-GB,Lynx rufus,0.00
MC1-Even-Tissue-GB,Didelphis virginiana,0.00
MC1-Even-Tissue-GB,Neurotrichus gibbsii,0.00
MC1-Even-Tissue-GB,Scapanus orarius,0.00
MC1-Even-Tissue-GB,Neovison vison,0.00
MC1-Even-Tissue-GB,Anaxyrus boreas,0.00
MC1-Even-Tissue-GB,Ardea herodias,0.00
MC1-Even-Tissue-GB,MammothGB,0.00
MC1-Even-Tissue-GB,RandomGB,0.00
