species,class
Oncorhynchus clarkii,fish
Oncorhynchus kisutch,fish
Lampetra ayresii,fish
Didelphis virginiana,mammal
Dicamptodon tenebrosus,amphibian
Ascaphus truei,amphibian
Homo sapiens,mammal
Oncorhynchus mykiss,fish
Bucephala albeola,bird
Cottus asper,fish
Gasterosteus aculeatus,fish
Turdus migratorius,bird
Lepomis gibbosus,fish
Canis lupus,mammal
Perca flavescens,fish
Sus scrofa,mammal
Phalacrocorax auritus,bird
Procyon lotor,mammal
Pimephales promelas,fish
Ameiurus nebulosus,fish
Bos taurus,mammal
Castor canadensis,mammal
Rattus rattus,mammal
Aix sponsa,bird
Ondatra zibethicus,mammal
Lithobates clamitans,amphibian
Gallus gallus,bird
Salmo trutta,fish
Pipilo maculatus,bird
Myotis lucifugus alascensis,mammal
Canis latrans,mammal
Rattus norvegicus,mammal
Lynx rufus,mammal
Oncorhynchus nerka,fish
Rana catesbeiana,amphibian
Melospiza melodia,bird
Oncorhynchus keta,fish
Regulus calendula,bird
Myotis keenii,mammal
Sturnus vulgaris,bird
Bombycilla cedrorum,bird
Scapanus orarius,mammal
Taricha granulosa,amphibian
Poecile atricapillus,bird
Oncorhynchus gorbuscha,fish
Neovison vison,mammal
Sardinops sagax,fish
Junco hyemalis,bird
Lithobates catesbeianus,amphibian
Cinclus mexicanus,bird
Felis catus,mammal
Rattus sp. NH 2147,mammal
Colaptes auratus,bird
Spirinchus thaleichthys,fish
Oncorhynchus tshawytscha,fish
Alburnus alburnus,fish
Fulica americana,bird
Osphranter rufus,mammal
Micropterus salmoides,fish
Ursus americanus,mammal
Cottus pollux,fish
Aplodontia rufa,mammal
Cervus elaphus,mammal
Capra hircus,mammal
Branta canadensis,bird
Prosopium williamsoni,fish
Gobio gobio,fish
Corvus corax,bird
Ensatina eschscholtzii,amphibian
Catharus guttatus,bird
Regulus satrapa,bird
Barbatula barbatula,fish
Equus caballus,mammal
