Serial Number,W30401034,,,,,,,,,
Sample ID,49,,,,,,,,,
Start Time,2021-06-11 23:05:12 UTC,,,,,,,,,
Duration,1 day, 2:15:38,,,,,,,,
Total Volume (l),6.02,,,,,,,,,
Distance (m),40,,,,,,,,,
Peak Pressure (psi),7.9,,,,,,,,,
Avg Flow (l/min),1.2,,,,,,,,,
Avg Rate (mL/m),638.1,,,,,,,,,
Avg Speed (m/s),0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
6/11/21 23:05,0,0,-0.15,0,0,0.06,48.800154,-122.404095,103.1,3.7
6/11/21 23:05,2,0,-0.15,0,0,0.06,48.800155,-122.404096,102.8,3.7
6/11/21 23:05,4,0,-0.14,0,0,0.05,48.800156,-122.404097,103,3.7
6/11/21 23:05,6,0,-0.06,0,0,0.05,48.800155,-122.404098,103,3.5
6/11/21 23:05,8,0,0.06,0,0,0.04,48.800152,-122.404099,102.9,3.5
6/11/21 23:05,10,0,0.14,0,0,0.04,48.800149,-122.404099,102.6,3.5
6/11/21 23:05,12,0,0.7,0,0,0.04,48.800145,-122.404099,102,3.5
6/11/21 23:05,14,0,2.68,0,0,0.04,48.800141,-122.404098,101.3,3.5
6/11/21 23:05,16,0,2.59,0,0,0.04,48.800135,-122.404098,100.3,3.5
6/11/21 23:05,18,0.01,5.66,0.21,109.37,0.03,48.800129,-122.404097,99.3,3.5
6/11/21 23:05,20,0.06,7.86,1.11,698.11,0.03,48.800124,-122.404096,98,3.5
6/11/21 23:05,22,0.12,2.75,1.61,999,0.02,48.800121,-122.404094,97.3,3.5
6/11/21 23:05,24,0.16,3.38,1.35,984.68,0.02,48.800119,-122.404095,96.9,3.5
6/11/21 23:05,26,0.21,3.19,1.34,966.81,0.02,48.800115,-122.404097,96.5,3.3
6/11/21 23:05,28,0.25,2.64,1.31,945.17,0.02,48.800114,-122.404099,96.2,3.3
6/11/21 23:05,30,0.29,2.93,1.29,890.27,0.03,48.800111,-122.404097,96.4,3.3
6/11/21 23:05,32,0.33,2.96,1.3,843.06,0.03,48.80011,-122.404098,96.5,3.3
6/11/21 23:05,34,0.38,3.35,1.3,813.01,0.03,48.80011,-122.404098,96,3.3
6/11/21 23:05,36,0.42,3.78,1.3,816.07,0.03,48.80011,-122.404099,95.5,3.8
6/11/21 23:05,38,0.46,3.35,1.3,696.68,0.03,48.80011,-122.404098,94.9,3.8
6/11/21 23:05,40,0.51,1.71,1.37,700.41,0.03,48.800109,-122.404094,94.6,3.8
6/11/21 23:05,42,0.55,3.87,1.26,652.17,0.03,48.80011,-122.404092,94.3,3.8
6/11/21 23:05,44,0.59,2.81,1.33,669.69,0.03,48.800109,-122.404088,93.1,3.8
6/11/21 23:05,46,0.64,3.07,1.29,645.65,0.03,48.800107,-122.404085,92.4,3.4
6/11/21 23:06,48,0.68,3.55,1.3,641.98,0.03,48.800103,-122.40408,92.1,3.4
6/11/21 23:06,50,0.72,2.84,1.3,679.21,0.03,48.800102,-122.404076,92.1,3.4
6/11/21 23:06,52,0.77,3.37,1.3,735.71,0.03,48.800101,-122.404071,92.1,3.4
6/11/21 23:06,54,0.81,3.18,1.3,680.27,0.03,48.8001,-122.40407,91.8,3.4
6/11/21 23:06,56,0.85,3.51,1.3,660.57,0.03,48.8001,-122.404069,91.9,3.6
6/11/21 23:06,58,0.9,3.17,1.3,727.07,0.03,48.800099,-122.404068,92.3,3.6
6/11/21 23:06,60,0.94,2.92,1.28,715.88,0.03,48.800098,-122.404068,92.9,3.6
6/11/21 23:06,62,0.98,3.3,1.2,641.03,0.03,48.800096,-122.404069,93.3,3.6
6/11/21 23:06,64,1.02,3.62,1.11,569.23,0.03,48.800095,-122.40407,94,3.6
6/11/21 23:06,66,1.05,3.9,1.1,504.36,0.04,48.800094,-122.404072,94.7,3.2
6/11/21 23:06,68,1.09,4.55,1.06,486.69,0.04,48.800092,-122.404074,95.5,3.2
6/11/21 23:06,70,1.13,7.53,1.26,579.31,0.04,48.800088,-122.404075,96.4,3.2
6/11/21 23:06,72,1.19,3.8,1.6,632.66,0.05,48.800081,-122.404075,96.8,3.2
6/11/21 23:06,74,1.23,3.15,1.42,544.69,0.04,48.800074,-122.404075,96.9,3.2
6/11/21 23:06,76,1.28,3.57,1.33,497.01,0.05,48.80007,-122.404076,96.9,3.6
6/11/21 23:06,78,1.32,3.4,1.32,444.89,0.05,48.800067,-122.404076,96.7,3.6
6/11/21 23:06,80,1.36,3.36,1.3,443.08,0.05,48.800066,-122.404077,96.5,3.6
6/11/21 23:06,82,1.41,3.54,1.3,411.91,0.05,48.800063,-122.404077,96.6,3.6
6/11/21 23:06,84,1.45,3.23,1.3,412.31,0.05,48.800059,-122.404078,96.8,3.6
6/11/21 23:06,86,1.49,3.19,1.3,432.9,0.05,48.800055,-122.404076,97.4,3.5
6/11/21 23:06,88,1.54,3.73,1.3,445.82,0.05,48.800054,-122.404077,98,3.5
6/11/21 23:06,90,1.58,3.15,1.3,463.95,0.04,48.800054,-122.404079,98.7,3.5
6/11/21 23:06,92,1.62,3.09,1.3,525.89,0.04,48.800056,-122.40408,98.8,3.5
6/11/21 23:06,94,1.67,3.87,1.3,589.57,0.04,48.800057,-122.404083,99,3.5
6/11/21 23:06,96,1.71,3.77,1.3,653.59,0.03,48.800057,-122.404084,99,3.8
6/11/21 23:06,98,1.75,3.72,1.3,830.14,0.03,48.800058,-122.404082,98.7,3.8
6/11/21 23:06,100,1.8,3.72,1.3,793.65,0.03,48.80006,-122.40408,98.7,3.8
6/11/21 23:06,102,1.84,3.27,1.3,884.35,0.02,48.800063,-122.404078,98.7,3.8
6/11/21 23:06,104,1.88,3.25,1.31,955.51,0.02,48.800063,-122.404076,98.6,3.8
6/11/21 23:06,106,1.93,3.38,1.29,934.78,0.02,48.80006,-122.404072,98.5,3.4
6/11/21 23:07,108,1.97,3.27,1.3,859.79,0.03,48.800055,-122.404068,98.7,3.4
6/11/21 23:07,110,2.01,3.61,1.3,825.4,0.03,48.80005,-122.404066,98.7,3.4
6/11/21 23:07,112,2.06,3.3,1.3,734.46,0.03,48.800047,-122.404067,98.9,3.4
6/11/21 23:07,114,2.1,3.32,1.3,668.72,0.03,48.800042,-122.404065,99.1,3.4
6/11/21 23:07,116,2.14,3.42,1.3,641.98,0.04,48.800038,-122.404063,99.8,3.6
6/11/21 23:07,118,2.19,3.95,1.3,565.71,0.04,48.800034,-122.404062,100.8,3.6
6/11/21 23:07,120,2.23,3.87,1.3,589.57,0.04,48.80003,-122.404061,101.7,3.6
6/11/21 23:07,122,2.27,3.26,1.3,577.78,0.04,48.800028,-122.404059,102.9,3.6
6/11/21 23:07,124,2.32,3.6,1.3,551.31,0.04,48.800029,-122.404059,104.6,3.6
6/11/21 23:07,126,2.36,3.55,1.31,608.17,0.03,48.80003,-122.404057,105.9,3.8
6/11/21 23:07,128,2.41,3.62,1.29,644.68,0.03,48.800032,-122.404054,106.7,3.8
6/11/21 23:07,130,2.45,3.16,1.31,653.69,0.03,48.800033,-122.404051,107.2,3.8
6/11/21 23:07,132,2.49,4.05,1.3,682.41,0.03,48.800034,-122.40405,107.8,3.8
6/11/21 23:07,134,2.54,3.11,1.31,758.1,0.03,48.800033,-122.404049,108.5,3.8
6/11/21 23:07,136,2.58,3.84,1.29,755.71,0.03,48.800034,-122.40405,109.4,3.3
6/11/21 23:07,138,2.62,3.91,1.31,792.5,0.03,48.800036,-122.404051,110,3.3
6/11/21 23:07,140,2.67,4.11,1.3,754.94,0.03,48.800037,-122.404052,110.7,3.3
6/11/21 23:07,142,2.71,3.7,1.29,743.94,0.03,48.800037,-122.404054,111.1,3.3
6/11/21 23:07,144,2.75,3.56,1.3,745.84,0.04,48.800036,-122.404055,111,3.3
6/11/21 23:07,146,2.8,3.98,1.3,555.56,0.04,48.800036,-122.404056,111.1,3.9
6/11/21 23:07,148,2.84,3.88,1.3,455.18,0.05,48.800034,-122.404058,110.9,3.9
6/11/21 23:07,150,2.88,3.77,1.3,454.7,0.05,48.800032,-122.404059,111,3.9
6/11/21 23:07,152,2.93,3.28,1.31,459.17,0.05,48.80003,-122.404061,111.2,3.9
6/11/21 23:07,154,2.97,3.76,1.29,434.34,0.05,48.80003,-122.404065,111.9,3.9
6/11/21 23:07,156,3.01,3.65,1.3,436.39,0.05,48.800034,-122.404068,112.5,3.6
6/11/21 23:07,158,3.06,3.55,1.3,449.52,0.05,48.800035,-122.404069,112.9,3.6
6/11/21 23:07,160,3.1,3.74,1.3,461.48,0.05,48.800038,-122.404068,113.1,3.6
6/11/21 23:07,162,3.14,3.86,1.3,469.99,0.05,48.800039,-122.404068,113,3.6
6/11/21 23:07,164,3.19,4.07,1.31,427.69,0.05,48.800042,-122.404069,112.4,3.6
6/11/21 23:07,166,3.23,3.83,1.3,458.07,0.04,48.800043,-122.40407,111.4,3.3
6/11/21 23:08,168,3.27,3.95,1.3,534.98,0.04,48.800044,-122.404071,110.2,3.3
6/11/21 23:08,170,3.32,3.7,1.3,518.34,0.04,48.800044,-122.404071,109.2,3.3
6/11/21 23:08,172,3.36,4.23,1.31,540.43,0.04,48.800042,-122.404073,108.8,3.3
6/11/21 23:08,174,3.4,4.1,1.3,567.19,0.04,48.800039,-122.404074,108.6,3.3
6/11/21 23:08,176,3.45,3.95,1.29,563.56,0.04,48.800038,-122.404075,108.7,3.3
6/11/21 23:08,178,3.49,3.76,1.3,573.19,0.04,48.800036,-122.404076,108.9,3.3
6/11/21 23:08,180,3.53,4.26,1.29,551.28,0.04,48.800032,-122.404076,109.1,3.3
6/11/21 23:08,182,3.58,3.69,1.3,573.95,0.04,48.800028,-122.404076,109.1,3.3
6/11/21 23:08,184,3.62,4.11,1.31,668.71,0.03,48.800026,-122.404077,109,3.3
6/11/21 23:08,186,3.66,3.78,1.31,752.87,0.03,48.800024,-122.404078,108.8,3.3
6/11/21 23:08,188,3.71,3.8,1.3,616.41,0.04,48.800024,-122.404082,108.5,3.3
6/11/21 23:08,190,3.75,3.75,1.3,581.66,0.04,48.800023,-122.404084,108.1,3.3
6/11/21 23:08,192,3.79,4.12,1.3,601.85,0.04,48.800022,-122.404085,108.1,3.3
6/11/21 23:08,194,3.84,3.94,1.3,596.88,0.04,48.800021,-122.404084,107.7,3.3
6/11/21 23:08,196,3.88,4.21,1.3,583.22,0.04,48.80002,-122.404085,107.7,3.3
6/11/21 23:08,198,3.92,4.24,1.3,578.55,0.04,48.800021,-122.404085,107.7,3.3
6/11/21 23:08,200,3.97,4.13,1.3,594.42,0.04,48.800022,-122.404085,107.5,3.3
6/11/21 23:08,202,4.01,4.16,1.31,574.56,0.04,48.800024,-122.404086,107.2,3.3
6/11/21 23:08,204,4.05,4.27,1.28,599.25,0.04,48.800025,-122.404085,106.4,3.3
6/11/21 23:08,206,4.1,4.31,1.3,612.92,0.03,48.800028,-122.404084,105.9,3.4
6/11/21 23:08,208,4.14,4.11,1.3,754.94,0.03,48.800031,-122.404084,105,3.4
6/11/21 23:08,210,4.18,4.13,1.3,875.42,0.02,48.800035,-122.404086,104.5,3.4
6/11/21 23:08,212,4.23,4.25,1.3,828.55,0.03,48.800042,-122.404087,104.4,3.4
6/11/21 23:08,214,4.27,4.1,1.3,817.61,0.03,48.800046,-122.404087,104.2,3.4
6/11/21 23:08,216,4.31,4.22,1.3,858.09,0.03,48.800048,-122.404086,104.2,3.4
6/11/21 23:08,218,4.36,4.09,1.3,856.39,0.02,48.800049,-122.404087,103.5,3.4
6/11/21 23:08,220,4.4,4.25,1.3,798.04,0.03,48.800049,-122.404087,103.1,3.4
6/11/21 23:08,222,4.44,3.74,1.31,869.85,0.03,48.80005,-122.404087,102.8,3.4
6/11/21 23:08,224,4.49,3.95,1.3,826.97,0.03,48.800051,-122.404085,102.9,3.4
6/11/21 23:08,226,4.53,4.17,1.3,743.28,0.03,48.800052,-122.404085,103.1,3.3
6/11/21 23:09,228,4.57,4.17,1.3,731.98,0.03,48.800056,-122.404084,103.4,3.3
6/11/21 23:09,230,4.62,4.14,1.3,710.38,0.03,48.800059,-122.404084,103.7,3.3
6/11/21 23:09,232,4.66,4.14,1.3,736.96,0.03,48.800061,-122.404083,103.8,3.3
6/11/21 23:09,234,4.71,4.58,1.31,771.5,0.03,48.800063,-122.404083,103.6,3.3
6/11/21 23:09,236,4.75,4.45,1.3,681.34,0.03,48.800064,-122.404084,103.8,3.7
6/11/21 23:09,238,4.79,4.35,1.29,677.17,0.03,48.800063,-122.404085,103.5,3.7
6/11/21 23:09,240,4.84,4.25,1.29,730.05,0.03,48.800062,-122.404087,103.4,3.7
6/11/21 23:09,242,4.88,4.37,1.32,752.14,0.03,48.80006,-122.404088,103.9,3.7
6/11/21 23:09,244,4.92,4.15,1.29,740.1,0.03,48.800058,-122.404088,104.5,3.7
6/11/21 23:09,246,4.97,4.4,1.3,858.09,0.03,48.800057,-122.404091,105.4,3.5
6/11/21 23:09,248,5.01,4.51,1.3,895.32,0.02,48.800056,-122.404093,106,3.5
6/11/21 23:09,250,5.05,4.34,1.3,889.8,0.02,48.800052,-122.404097,106.4,3.5
6/11/21 23:09,252,5.1,4.19,1.3,878.97,0.02,48.800049,-122.4041,106.5,3.5
6/11/21 23:09,254,5.14,4.31,1.3,838.17,0.02,48.800047,-122.404102,106.8,3.5
6/11/21 23:09,256,5.18,4.57,1.3,971.6,0.02,48.800044,-122.4041,106.8,3.3
6/11/21 23:09,258,5.23,4.63,1.29,870.45,0.03,48.800041,-122.4041,106.5,3.3
6/11/21 23:09,260,5.27,4.23,1.31,885.73,0.03,48.800041,-122.404097,106.7,3.3
6/11/21 23:09,262,5.31,4.46,1.3,820.71,0.03,48.80004,-122.404096,106.9,3.3
6/11/21 23:09,264,5.36,4.39,1.3,836.55,0.03,48.800039,-122.404095,107.3,3.3
6/11/21 23:09,266,5.4,4.2,1.3,729.52,0.03,48.800038,-122.404095,108.1,3.6
6/11/21 23:09,268,5.44,4.48,1.28,648.43,0.03,48.800038,-122.404093,108.8,3.6
6/11/21 23:09,270,5.49,4.58,1.3,673.92,0.03,48.800038,-122.404094,109.9,3.6
6/11/21 23:09,272,5.53,4.67,1.31,629.2,0.04,48.800038,-122.404094,111.1,3.6
6/11/21 23:09,274,5.57,4.55,1.3,614.66,0.04,48.800038,-122.404094,112.2,3.6
6/11/21 23:09,276,5.62,4.31,1.32,593.79,0.04,48.800038,-122.404092,113.1,3.3
6/11/21 23:09,278,5.66,4.18,1.29,626.82,0.03,48.800038,-122.404093,114,3.3
