Serial Number,W30401034,,,,,,,,,
Sample ID,60,,,,,,,,,
Start Time,2021-07-12 21:43:29 UTC,,,,,,,,,
Duration,19:38:59,,,,,,,,,
Total Volume (l),6.03,,,,,,,,,
Distance (m),32,,,,,,,,,
Peak Pressure (psi),11.3,,,,,,,,,
Avg Flow (l/min),1.2,,,,,,,,,
Avg Rate (mL/m),657.1,,,,,,,,,
Avg Speed (m/s),0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
7/12/21 21:43,0,0,-0.15,0.3,208.77,0.03,48.799913,-122.404046,94.5,3.5
7/12/21 21:43,2,0,-0.11,0.1,60.06,0.03,48.799911,-122.404046,94.1,3.5
7/12/21 21:43,4,0,-0.09,0.03,17.15,0.03,48.799909,-122.404047,93.9,3.5
7/12/21 21:43,6,0,0,0.01,4.83,0.03,48.799908,-122.404049,93.6,3.5
7/12/21 21:43,8,0,0.17,0.02,10.43,0.04,48.799908,-122.404049,93.1,3.6
7/12/21 21:43,10,0,0.22,0.01,4.44,0.04,48.799907,-122.404049,93,3.6
7/12/21 21:43,12,0,1.26,0.01,4.6,0.04,48.799906,-122.404048,92.9,3.6
7/12/21 21:43,14,0,2.98,0.02,8.46,0.04,48.799905,-122.40405,93,3.6
7/12/21 21:43,16,0,3.82,0,0,0.04,48.799904,-122.404052,93.1,3.6
7/12/21 21:43,18,0.01,4.9,0.3,116.01,0.04,48.799901,-122.404056,93.6,3.5
7/12/21 21:43,20,0.05,6.28,0.98,364.18,0.04,48.7999,-122.404059,93.9,3.5
7/12/21 21:43,22,0.11,4.7,1.49,596.24,0.04,48.7999,-122.404064,93.8,3.5
7/12/21 21:43,24,0.16,3.19,1.45,580.93,0.04,48.799901,-122.404079,93.7,3.5
7/12/21 21:43,26,0.21,3.54,1.37,611.33,0.04,48.799899,-122.404085,93.9,3.5
7/12/21 21:43,28,0.25,3.37,1.33,599.91,0.03,48.799899,-122.404093,93.8,3.5
7/12/21 21:43,30,0.29,4.38,1.31,696.44,0.03,48.799897,-122.404096,93.7,3.5
7/12/21 21:44,32,0.34,3.86,1.31,650.77,0.03,48.799897,-122.4041,93.6,3.5
7/12/21 21:44,34,0.38,4.44,1.29,700.33,0.03,48.799897,-122.404103,93.7,3.5
7/12/21 21:44,36,0.42,4.53,1.3,692.23,0.03,48.799897,-122.404107,93.8,3.5
7/12/21 21:44,38,0.47,4.15,1.29,706.08,0.03,48.799896,-122.404109,93.8,3.5
7/12/21 21:44,40,0.51,3.69,1.3,742.01,0.03,48.799897,-122.404112,93.5,3.5
7/12/21 21:44,43,0.55,4.1,1.3,680.27,0.03,48.799898,-122.404119,93.8,3.5
7/12/21 21:44,45,0.6,3.55,1.31,735.13,0.03,48.799899,-122.404132,94.3,3.5
7/12/21 21:44,47,0.64,4.17,1.29,708.4,0.03,48.799897,-122.404142,94.9,3.5
7/12/21 21:44,49,0.68,3.99,1.31,665.65,0.03,48.799896,-122.404149,96.5,3.5
7/12/21 21:44,51,0.73,4.47,1.3,606.91,0.03,48.799894,-122.404151,96.5,3.5
7/12/21 21:44,53,0.77,4.02,1.3,633.53,0.03,48.799892,-122.40415,95.6,3.5
7/12/21 21:44,55,0.81,4.13,1.3,630.76,0.03,48.799891,-122.404148,94.9,3.5
7/12/21 21:44,57,0.86,4.44,1.3,607.76,0.04,48.799892,-122.404146,94,3.5
7/12/21 21:44,59,0.9,4.8,1.3,630.76,0.03,48.799894,-122.404143,93.2,3.5
7/12/21 21:44,61,0.94,4.24,1.3,544.39,0.04,48.799893,-122.404142,92,3.5
7/12/21 21:44,63,0.99,4.35,1.3,545.07,0.04,48.799895,-122.404139,90.6,3.5
7/12/21 21:44,65,1.03,4.47,1.3,530.4,0.04,48.799897,-122.404137,89.3,3.5
7/12/21 21:44,67,1.08,4.37,1.3,555.56,0.04,48.799899,-122.404135,88.6,3.5
7/12/21 21:44,69,1.12,5.13,1.29,593.1,0.04,48.7999,-122.404133,88.3,3.5
7/12/21 21:44,71,1.16,5.24,1.3,668.72,0.03,48.799901,-122.404132,88.3,3.5
7/12/21 21:44,73,1.2,4.94,1.3,679.21,0.03,48.799901,-122.404132,88.4,3.5
7/12/21 21:44,75,1.25,4.74,1.3,664.62,0.03,48.799902,-122.40413,88.3,3.5
7/12/21 21:44,77,1.29,4.67,1.3,733.22,0.03,48.799903,-122.404129,88.2,3.5
7/12/21 21:44,79,1.33,4.94,1.3,772.43,0.03,48.799904,-122.404128,88,3.9
7/12/21 21:44,81,1.38,4.8,1.3,998.46,0.02,48.799906,-122.404127,87.5,3.9
7/12/21 21:44,83,1.42,5.26,1.3,999,0.02,48.799908,-122.404126,87.2,3.9
7/12/21 21:44,85,1.46,5.16,1.3,999,0.02,48.799909,-122.404127,87,3.9
7/12/21 21:44,87,1.51,5.54,1.3,999,0.02,48.79991,-122.404128,86.9,3.9
7/12/21 21:44,89,1.55,5.6,1.3,975.98,0.02,48.79991,-122.404128,87.1,3.8
7/12/21 21:45,91,1.59,5.47,1.3,946.14,0.02,48.799911,-122.40413,87.3,3.8
7/12/21 21:45,93,1.64,5.6,1.3,954.48,0.02,48.799912,-122.404132,87.2,3.8
7/12/21 21:45,95,1.68,5.38,1.3,999,0.02,48.799912,-122.404133,87.2,3.8
7/12/21 21:45,97,1.72,5.62,1.3,999,0.02,48.799913,-122.404135,87.2,3.8
7/12/21 21:45,99,1.77,5.43,1.29,957.68,0.02,48.799914,-122.404135,87.2,3.8
7/12/21 21:45,101,1.81,6.03,1.29,873.98,0.03,48.799914,-122.404135,87.2,3.8
7/12/21 21:45,103,1.85,5.85,1.3,831.73,0.02,48.799914,-122.404135,87.3,3.8
7/12/21 21:45,105,1.9,5.7,1.31,816.2,0.03,48.799914,-122.404134,87.5,3.8
7/12/21 21:45,107,1.94,5.99,1.3,601.02,0.04,48.799914,-122.404134,87.8,3.8
7/12/21 21:45,109,1.98,6.19,1.3,545.76,0.04,48.799913,-122.404134,88,4
7/12/21 21:45,111,2.03,6.14,1.3,463.95,0.05,48.799913,-122.404135,88.1,4
7/12/21 21:45,113,2.07,6.28,1.29,467.9,0.05,48.799913,-122.404136,88.2,4
7/12/21 21:45,115,2.11,6.1,1.29,421.16,0.06,48.799911,-122.404138,88.5,4
7/12/21 21:45,117,2.16,6.44,1.28,358.54,0.06,48.799909,-122.404141,88.8,4
7/12/21 21:45,119,2.2,6.38,1.29,356.85,0.06,48.799907,-122.404145,89.1,4
7/12/21 21:45,121,2.24,6.61,1.29,349.31,0.06,48.799906,-122.404148,89.4,4
7/12/21 21:45,123,2.29,6.71,1.28,354.08,0.06,48.799905,-122.40415,89.7,4
7/12/21 21:45,125,2.33,7.04,1.28,375.59,0.06,48.799904,-122.404153,90.2,4
7/12/21 21:45,127,2.37,6.84,1.31,455.34,0.05,48.799904,-122.404154,90.5,4
7/12/21 21:45,129,2.42,6.66,1.28,479.4,0.04,48.799904,-122.404156,90.9,3.8
7/12/21 21:45,131,2.46,6.84,1.28,547.01,0.04,48.799904,-122.404157,91.3,3.8
7/12/21 21:45,133,2.5,7.26,1.29,519.32,0.04,48.799904,-122.404157,91.6,3.8
7/12/21 21:45,135,2.54,7.09,1.3,584.8,0.03,48.799904,-122.404157,91.8,3.8
7/12/21 21:45,137,2.59,7.26,1.29,720.27,0.03,48.799902,-122.404158,92.5,3.8
7/12/21 21:45,139,2.63,7.26,1.3,789.31,0.03,48.799902,-122.404155,92.7,3.5
