Serial Number,W30401034
Sample ID,00083
Start Time,2021-09-11 02:54:06 UTC
Duration,0:05:40
Total Volume (l),7.04
Distance (m),10
Peak Pressure (psi),3.7
Avg Flow (l/min),1.2
Avg Rate (mL/m),824.4
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-09-11 02:54:06,0,0.00,0.81,0.00,0.00,0.20,47.691515,-122.362288,84.1,6.5
2021-09-11 02:54:12,6,0.00,0.01,0.00,0.00,0.18,47.691528,-122.362319,83.0,6.5
2021-09-11 02:54:14,8,0.00,0.02,0.00,0.00,0.14,47.691535,-122.362327,82.1,6.5
2021-09-11 02:54:16,10,0.00,0.36,0.00,0.00,0.15,47.691541,-122.362330,81.4,6.5
2021-09-11 02:54:18,12,0.00,0.31,0.00,0.00,0.13,47.691547,-122.362334,80.6,6.5
2021-09-11 02:54:20,14,0.00,1.13,0.00,0.00,0.12,47.691546,-122.362327,81.1,6.5
2021-09-11 02:54:22,16,0.01,2.79,0.22,35.27,0.10,47.691546,-122.362324,81.4,6.5
2021-09-11 02:54:24,18,0.04,3.66,0.81,142.86,0.09,47.691546,-122.362318,81.7,6.5
2021-09-11 02:54:26,20,0.10,2.26,1.42,243.61,0.09,47.691547,-122.362320,81.3,6.5
2021-09-11 02:54:28,22,0.14,0.88,1.34,266.99,0.08,47.691548,-122.362320,80.9,6.5
2021-09-11 02:54:30,24,0.19,1.78,1.33,307.87,0.07,47.691548,-122.362320,80.7,6.5
2021-09-11 02:54:32,26,0.23,3.00,1.30,343.64,0.06,47.691549,-122.362321,80.3,6.5
2021-09-11 02:54:34,28,0.27,2.46,1.31,379.71,0.05,47.691549,-122.362322,80.1,6.5
2021-09-11 02:54:36,30,0.32,1.57,1.29,472.53,0.04,47.691549,-122.362321,80.0,6.5
2021-09-11 02:54:38,32,0.36,1.29,1.29,554.12,0.04,47.691548,-122.362320,79.9,6.5
2021-09-11 02:54:40,34,0.40,1.40,1.28,601.79,0.03,47.691548,-122.362319,79.9,6.5
2021-09-11 02:54:42,36,0.44,1.73,1.25,661.38,0.03,47.691548,-122.362318,79.9,6.5
2021-09-11 02:54:44,38,0.49,1.53,1.31,732.66,0.03,47.691547,-122.362317,80.0,6.5
2021-09-11 02:54:46,40,0.54,1.70,1.33,955.46,0.02,47.691546,-122.362316,80.1,6.5
2021-09-11 02:54:48,42,0.58,1.71,1.31,999.00,0.02,47.691545,-122.362314,80.2,6.5
2021-09-11 02:54:50,44,0.62,1.84,1.31,999.00,0.02,47.691544,-122.362315,80.2,6.5
2021-09-11 02:54:52,46,0.66,1.69,1.31,999.00,0.02,47.691544,-122.362315,80.2,6.5
2021-09-11 02:54:54,48,0.71,1.90,1.31,999.00,0.02,47.691544,-122.362315,80.2,6.5
2021-09-11 02:54:56,50,0.75,1.86,1.31,999.00,0.02,47.691543,-122.362316,80.3,6.5
2021-09-11 02:54:58,52,0.80,1.87,1.31,999.00,0.02,47.691542,-122.362317,80.4,6.5
2021-09-11 02:55:00,54,0.84,0.93,1.30,999.00,0.02,47.691541,-122.362319,80.6,6.5
2021-09-11 02:55:02,56,0.88,1.10,1.30,999.00,0.02,47.691540,-122.362320,80.7,6.5
2021-09-11 02:55:04,58,0.92,0.81,1.30,999.00,0.02,47.691540,-122.362323,80.9,6.5
2021-09-11 02:55:06,60,0.97,0.92,1.30,999.00,0.02,47.691539,-122.362325,81.2,6.5
2021-09-11 02:55:08,62,1.01,1.46,1.30,914.21,0.02,47.691539,-122.362328,81.3,6.5
2021-09-11 02:55:10,64,1.06,0.86,1.30,975.98,0.02,47.691539,-122.362330,81.5,6.5
2021-09-11 02:55:12,66,1.10,2.46,1.30,984.85,0.02,47.691540,-122.362333,81.5,6.5
