Serial Number,W30401034
Sample ID,00087
Start Time,2021-10-12 17:29:32 UTC
Duration,0:00:02
Total Volume (l),0.0
Distance (m),0
Peak Pressure (psi),-0.0
Avg Flow (l/min),0.0
Avg Rate (mL/m),0.0
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-10-12 17:29:32,0,0.00,-0.04,0.00,0.00,0.10,48.665458,-122.373584,96.2,4.6
2021-10-12 17:29:34,2,0.00,-0.04,0.00,0.00,0.10,48.665460,-122.373574,96.0,4.6
