Serial Number,W30401034,,,,,,,,,
Sample ID,109,,,,,,,,,
Start Time,2021-11-10 22:52:25 UTC,,,,,,,,,
Duration,27 days, 18:43:09,,,,,,,,
Total Volume (l),6.09,,,,,,,,,
Distance (m),38,,,,,,,,,
Peak Pressure (psi),14,,,,,,,,,
Avg Flow (l/min),1.2,,,,,,,,,
Avg Rate (mL/m),712.1,,,,,,,,,
Avg Speed (m/s),0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
11/10/21 22:52,0,0,-0.27,0,0,0.04,48.799926,-122.404121,82.1,3.7
11/10/21 22:52,2,0,-0.15,0,0,0.05,48.799927,-122.404121,81.8,3.7
11/10/21 22:52,4,0,-0.14,0.1,37.58,0.04,48.799928,-122.40412,81.7,3.7
11/10/21 22:52,6,0,-0.06,0.03,11.99,0.04,48.79993,-122.40412,81.7,5.2
11/10/21 22:52,8,0,0.05,0.01,4.08,0.04,48.799932,-122.404122,81.6,5.2
11/10/21 22:52,10,0,0.19,0,0,0.04,48.799935,-122.404123,81.7,5.2
11/10/21 22:52,12,0,0.96,0,0,0.04,48.799937,-122.404123,81.7,5.2
11/10/21 22:52,14,0,3.05,0,0,0.04,48.799944,-122.404126,80.8,5.2
11/10/21 22:52,16,0,3.86,0,0,0.04,48.799949,-122.404131,79.7,4.2
11/10/21 22:52,18,0.02,6.91,0.34,152.13,0.04,48.799954,-122.404134,78.9,4.2
11/10/21 22:52,20,0.07,8.14,1.23,531.09,0.04,48.799957,-122.404134,77.8,4.2
11/10/21 22:52,22,0.13,2.59,1.62,687.02,0.04,48.799961,-122.404137,76.9,4.2
11/10/21 22:52,24,0.17,4,1.32,622.35,0.04,48.799963,-122.404138,76.8,4.2
11/10/21 22:52,26,0.21,3.11,1.34,589.27,0.04,48.799967,-122.404143,75.8,3.2
11/10/21 22:52,28,0.26,3.77,1.3,550.61,0.04,48.799973,-122.40415,74.7,3.2
11/10/21 22:52,30,0.3,3.74,1.3,566.45,0.04,48.799977,-122.404158,73.7,3.2
11/10/21 22:52,32,0.34,3.57,1.3,550.61,0.04,48.799981,-122.404167,72.6,3.2
11/10/21 22:52,34,0.39,3.56,1.3,571.68,0.04,48.799982,-122.404171,72.4,3.2
11/10/21 22:53,36,0.43,3.62,1.3,622.61,0.04,48.799982,-122.404171,72.8,4.3
11/10/21 22:53,38,0.48,4.15,1.3,622.61,0.03,48.799981,-122.404169,73.8,4.3
11/10/21 22:53,40,0.52,4.03,1.3,651.63,0.03,48.79998,-122.404166,74.8,4.3
11/10/21 22:53,42,0.56,4.04,1.3,684.57,0.03,48.799979,-122.404164,75,4.3
11/10/21 22:53,44,0.61,4.08,1.3,698.92,0.03,48.799979,-122.404163,75.3,4.3
11/10/21 22:53,46,0.65,4.13,1.3,782.19,0.03,48.799978,-122.40416,75.3,5.2
11/10/21 22:53,48,0.69,4.07,1.3,914.21,0.02,48.799976,-122.404158,75.5,5.2
11/10/21 22:53,50,0.73,4.07,1.3,967.26,0.02,48.799975,-122.404156,75.6,5.2
11/10/21 22:53,52,0.78,3.95,1.3,993.88,0.02,48.799973,-122.404153,75.7,5.2
11/10/21 22:53,54,0.82,4.22,1.3,925.93,0.02,48.799971,-122.40415,75.9,5.2
11/10/21 22:53,56,0.86,4.16,1.3,765.61,0.03,48.799968,-122.404148,76,5.1
11/10/21 22:53,58,0.91,4.23,1.3,790.75,0.03,48.799966,-122.404143,76.4,5.1
11/10/21 22:53,60,0.95,4.03,1.3,820.71,0.03,48.799963,-122.404139,77,5.1
11/10/21 22:53,62,0.99,4.5,1.27,768.3,0.03,48.799959,-122.404135,77.5,5.1
11/10/21 22:53,64,1.04,3.64,1.31,754.17,0.03,48.799956,-122.404132,78.1,5.1
11/10/21 22:53,66,1.08,4.02,1.29,680.38,0.03,48.799955,-122.40413,79,4.2
11/10/21 22:53,68,1.12,3.93,1.31,665.65,0.03,48.799955,-122.40413,79.6,4.2
11/10/21 22:53,70,1.16,4,1.3,663.6,0.03,48.799955,-122.40413,80.2,4.2
11/10/21 22:53,72,1.21,4.07,1.31,683.36,0.03,48.799956,-122.40413,80.5,4.2
11/10/21 22:53,74,1.25,4.09,1.29,725.13,0.03,48.799957,-122.40413,80.9,4.2
11/10/21 22:53,76,1.3,4.26,1.3,802.47,0.03,48.799958,-122.40413,81.1,4.2
11/10/21 22:53,78,1.34,4.43,1.3,830.14,0.03,48.79996,-122.404131,81.5,4.2
11/10/21 22:53,80,1.38,4.26,1.29,778.99,0.03,48.799962,-122.404131,81.8,4.2
11/10/21 22:53,82,1.43,4.18,1.3,820.71,0.03,48.799964,-122.404132,82.2,4.2
11/10/21 22:53,84,1.47,4.06,1.31,866.4,0.02,48.799965,-122.404132,82.7,4.2
11/10/21 22:53,86,1.51,4.06,1.3,950.29,0.02,48.799965,-122.404133,82.7,4.2
11/10/21 22:53,88,1.56,4.46,1.29,770.61,0.03,48.799965,-122.404133,82.3,4.2
11/10/21 22:53,90,1.6,4.1,1.3,752.31,0.04,48.799966,-122.404134,81.6,4.2
11/10/21 22:53,92,1.64,4.62,1.3,292,0.07,48.799967,-122.404136,81.2,4.2
11/10/21 22:53,94,1.69,3.94,1.31,286.9,0.07,48.799966,-122.404137,81.1,4.2
11/10/21 22:54,96,1.73,4.44,1.29,284.96,0.08,48.799965,-122.404134,80.4,5.1
11/10/21 22:54,98,1.77,4.18,1.31,282.82,0.08,48.799961,-122.404127,79.1,5.1
11/10/21 22:54,100,1.82,4.59,1.3,271.34,0.08,48.799957,-122.40412,77.4,5.1
11/10/21 22:54,102,1.86,4.17,1.3,273.4,0.08,48.799953,-122.40411,75.1,5.1
11/10/21 22:54,104,1.9,4.23,1.3,269.82,0.08,48.79995,-122.404105,72.8,5.1
11/10/21 22:54,106,1.95,4.55,1.29,266.91,0.08,48.799948,-122.404101,71,5.1
11/10/21 22:54,108,1.99,4.51,1.29,286.28,0.08,48.799947,-122.404101,69.3,5.1
11/10/21 22:54,110,2.03,4.46,1.3,290.05,0.07,48.799947,-122.404101,67.9,5.1
11/10/21 22:54,112,2.08,4.54,1.3,727.07,0.03,48.799948,-122.404103,66.1,5.1
11/10/21 22:54,114,2.12,4.56,1.3,760.23,0.03,48.799948,-122.404104,65,5.1
11/10/21 22:54,116,2.16,4.58,1.29,771.99,0.03,48.79995,-122.404108,64,5.1
11/10/21 22:54,118,2.21,4.4,1.3,684.57,0.03,48.799949,-122.404107,63.9,5.1
11/10/21 22:54,120,2.25,4.67,1.3,772.43,0.03,48.799947,-122.404105,64.2,5.1
11/10/21 22:54,122,2.29,4.68,1.31,782.56,0.03,48.799944,-122.404101,65,5.1
11/10/21 22:54,124,2.34,4.55,1.29,719.06,0.03,48.79994,-122.404094,65.8,5.1
11/10/21 22:54,126,2.38,4.56,1.3,702.32,0.03,48.799937,-122.404087,66.3,4.3
11/10/21 22:54,128,2.43,4.7,1.3,702.32,0.03,48.799934,-122.404082,66.8,4.3
11/10/21 22:54,130,2.47,4.63,1.29,707.24,0.03,48.799931,-122.404076,67.2,4.3
11/10/21 22:54,132,2.51,4.51,1.3,728.29,0.03,48.799928,-122.404071,68,4.3
11/10/21 22:54,134,2.56,4.54,1.3,735.71,0.03,48.799926,-122.404067,69.1,4.3
11/10/21 22:54,136,2.6,4.76,1.3,713.89,0.03,48.799925,-122.404064,70.2,3.8
11/10/21 22:54,138,2.64,4.64,1.3,828.55,0.03,48.799924,-122.404063,71.1,3.8
11/10/21 22:54,140,2.68,4.76,1.3,792.2,0.03,48.799925,-122.404064,72,3.8
11/10/21 22:54,142,2.73,4.5,1.31,831.75,0.03,48.799927,-122.404066,72.6,3.8
11/10/21 22:54,144,2.77,4.8,1.29,875.76,0.03,48.799928,-122.404069,73.2,3.8
11/10/21 22:54,146,2.82,4.73,1.3,838.17,0.03,48.799931,-122.404073,73.8,4.1
11/10/21 22:54,148,2.86,4.73,1.29,794.82,0.03,48.799934,-122.404077,74.2,4.1
11/10/21 22:54,150,2.9,4.68,1.3,803.96,0.03,48.799937,-122.40408,74.1,4.1
11/10/21 22:54,152,2.94,5.05,1.29,817.49,0.03,48.79994,-122.404083,73.7,4.1
11/10/21 22:54,154,2.99,4.95,1.3,816.07,0.03,48.799943,-122.404087,73.4,4.1
11/10/21 22:55,156,3.03,4.76,1.3,803.96,0.03,48.799945,-122.404089,73.3,4.1
11/10/21 22:55,158,3.07,4.94,1.29,693.55,0.03,48.799948,-122.404091,73.1,4.1
11/10/21 22:55,160,3.12,5.05,1.29,725.13,0.03,48.79995,-122.404093,73,4.1
11/10/21 22:55,162,3.16,4.81,1.31,647.87,0.03,48.799951,-122.404094,72.8,4.1
11/10/21 22:55,164,3.21,4.88,1.3,631.68,0.03,48.799952,-122.404094,72.7,4.1
11/10/21 22:55,166,3.25,5.2,1.29,607.34,0.04,48.799953,-122.404094,72.6,4.2
11/10/21 22:55,168,3.29,5.08,1.3,569.43,0.04,48.799954,-122.404094,72.4,4.2
11/10/21 22:55,170,3.33,5.02,1.29,536.83,0.04,48.799956,-122.404094,72.2,4.2
11/10/21 22:55,172,3.38,5.02,1.3,509.8,0.04,48.799958,-122.404094,72.5,4.2
11/10/21 22:55,174,3.42,5.12,1.3,505.05,0.04,48.799959,-122.404094,72.8,4.2
11/10/21 22:55,176,3.47,5.04,1.3,458.55,0.04,48.799959,-122.404093,72.8,4.1
11/10/21 22:55,178,3.51,5.05,1.29,471.49,0.05,48.79996,-122.404093,72.8,4.1
11/10/21 22:55,180,3.55,5.05,1.31,483.57,0.05,48.799959,-122.404092,73.1,4.1
11/10/21 22:55,182,3.59,5.22,1.3,513.43,0.04,48.799956,-122.404089,74.2,4.1
11/10/21 22:55,184,3.64,4.99,1.3,532.35,0.04,48.799953,-122.404086,74.9,4.1
11/10/21 22:55,186,3.68,5.13,1.3,529.75,0.04,48.799951,-122.404084,75.5,3.6
11/10/21 22:55,188,3.72,5.1,1.3,575.48,0.04,48.799949,-122.404082,76.5,3.6
11/10/21 22:55,190,3.77,5.28,1.3,579.32,0.04,48.799946,-122.404079,78,3.6
11/10/21 22:55,192,3.81,5.36,1.29,603.93,0.03,48.799942,-122.404076,79.4,3.6
11/10/21 22:55,194,3.86,5.03,1.31,614.16,0.04,48.799938,-122.404073,80.6,3.6
11/10/21 22:55,196,3.9,5.23,1.29,651.52,0.03,48.799933,-122.40407,82.1,3.6
11/10/21 22:55,198,3.94,5.18,1.31,719.38,0.03,48.799932,-122.404071,82.4,3.6
11/10/21 22:55,200,3.99,5.21,1.29,691.32,0.03,48.799931,-122.404073,82.6,3.6
11/10/21 22:55,202,4.03,5.35,1.3,721.02,0.03,48.799932,-122.404078,82.5,3.6
11/10/21 22:55,204,4.07,5.26,1.3,710.38,0.03,48.799932,-122.404084,82.4,3.6
11/10/21 22:55,206,4.11,5.23,1.3,779.38,0.03,48.799933,-122.404089,82.3,5.1
11/10/21 22:55,208,4.16,5.4,1.3,739.48,0.03,48.799933,-122.404094,81.7,5.1
11/10/21 22:55,210,4.2,5.45,1.3,740.74,0.03,48.799932,-122.404095,80.6,5.1
11/10/21 22:55,212,4.25,5.34,1.31,707.73,0.03,48.799933,-122.404098,80,5.1
11/10/21 22:55,214,4.29,5.35,1.3,697.8,0.03,48.799933,-122.404102,79.9,5.1
11/10/21 22:56,216,4.33,5.43,1.3,710.38,0.03,48.799933,-122.404107,79.9,4.1
11/10/21 22:56,218,4.38,5.38,1.29,690.21,0.03,48.799932,-122.404109,80.1,4.1
11/10/21 22:56,220,4.42,5.44,1.3,671.83,0.03,48.79993,-122.404112,80.8,4.1
11/10/21 22:56,222,4.46,5.25,1.31,660.62,0.03,48.79993,-122.404114,81.6,4.1
11/10/21 22:56,224,4.5,5.28,1.3,606.91,0.04,48.799931,-122.404115,82.5,4.1
11/10/21 22:56,226,4.55,5.54,1.28,520.33,0.04,48.799934,-122.404117,83.8,5.1
11/10/21 22:56,228,4.59,5.86,1.31,475.67,0.05,48.799938,-122.404117,83.7,5.1
11/10/21 22:56,230,4.64,5.27,1.32,446.25,0.05,48.79994,-122.404117,84,5.1
11/10/21 22:56,232,4.68,5.64,1.28,424.12,0.05,48.799945,-122.404118,84.3,5.1
11/10/21 22:56,234,4.72,5.58,1.31,405.82,0.06,48.799949,-122.404119,84.6,5.1
11/10/21 22:56,236,4.77,5.62,1.29,405.28,0.06,48.799952,-122.40412,85.1,3.6
11/10/21 22:56,238,4.81,5.8,1.28,394.7,0.06,48.799952,-122.40412,85.1,3.6
11/10/21 22:56,240,4.85,5.42,1.28,382.66,0.06,48.799952,-122.404121,85,3.6
11/10/21 22:56,242,4.9,6.18,1.31,391.63,0.05,48.79995,-122.40412,84.9,3.6
11/10/21 22:56,244,4.94,5.22,1.35,426.94,0.05,48.799948,-122.40412,84.8,3.6
11/10/21 22:56,246,4.98,5.58,1.3,454.7,0.05,48.799945,-122.404119,84.6,3.8
11/10/21 22:56,248,5.03,5.32,1.29,487.53,0.04,48.799942,-122.404117,85.1,3.8
11/10/21 22:56,250,5.07,5.9,1.29,530.21,0.04,48.799938,-122.404113,85.5,3.8
11/10/21 22:56,252,5.11,5.43,1.3,569.43,0.04,48.799937,-122.40411,85.6,3.8
11/10/21 22:56,254,5.16,5.78,1.29,640.83,0.03,48.799935,-122.404108,85.9,3.8
11/10/21 22:56,256,5.2,5.74,1.3,668.72,0.03,48.799934,-122.404106,86.3,3.7
11/10/21 22:56,258,5.24,5.75,1.29,676.1,0.03,48.799934,-122.404105,86.7,3.7
11/10/21 22:56,260,5.29,5.63,1.28,748.54,0.03,48.799935,-122.404107,86.6,3.7
11/10/21 22:56,262,5.33,6.82,1.21,725.42,0.03,48.799937,-122.404111,86.9,3.7
11/10/21 22:56,264,5.37,6.43,1.33,763.05,0.03,48.799939,-122.404114,87,3.7
11/10/21 22:56,266,5.42,5.53,1.34,673.71,0.03,48.79994,-122.404122,87.8,3.7
11/10/21 22:56,268,5.46,5.74,1.32,676.92,0.03,48.799939,-122.404126,88.6,3.7
11/10/21 22:56,270,5.5,5.56,1.27,698.57,0.03,48.79994,-122.404126,89.2,3.7
11/10/21 22:56,272,5.55,6.22,1.27,662.49,0.03,48.79994,-122.404127,90.1,3.7
11/10/21 22:56,274,5.59,6.03,1.3,656.57,0.03,48.79994,-122.404127,91.1,3.7
11/10/21 22:57,276,5.63,6.12,1.29,627.74,0.03,48.799942,-122.404129,91.7,4.2
11/10/21 22:57,278,5.68,6.14,1.3,639.13,0.04,48.799944,-122.40413,92.2,4.2
11/10/21 22:57,280,5.72,4.48,1.32,609.42,0.04,48.799946,-122.404143,92.5,4.2
11/10/21 22:57,282,5.76,3.76,1.35,611.41,0.04,48.799947,-122.404146,92.5,4.2
11/10/21 22:57,284,5.81,3.3,1.34,593.18,0.04,48.799948,-122.404149,92.7,4.2
11/10/21 22:57,286,5.85,2.79,1.32,635.84,0.03,48.799949,-122.40416,93.7,5.3
11/10/21 22:57,288,5.9,3.4,1.3,639.13,0.03,48.799948,-122.404165,96.2,5.3
11/10/21 22:57,290,5.94,2.76,1.25,617.28,0.03,48.799946,-122.404168,100,5.3
11/10/21 22:57,292,5.97,3.6,1.11,556.39,0.03,48.799945,-122.404169,101.9,5.3
11/10/21 22:57,294,6,3.47,0.97,454.12,0.04,48.799943,-122.404168,103.1,5.3
11/10/21 22:57,296,6.02,3.68,0.72,326.09,0.04,48.799942,-122.40417,103.5,5.3
11/10/21 22:57,298,6.04,3.46,0.55,241.23,0.04,48.799942,-122.404171,103.5,5.3
11/10/21 22:57,300,6.06,2.9,0.51,229.11,0.04,48.79994,-122.404171,103.2,5.3
11/10/21 22:57,302,6.07,2.86,0.36,165.29,0.04,48.799938,-122.404171,103.5,5.3
11/10/21 22:57,304,6.07,2.79,0.24,111.58,0.04,48.799933,-122.404172,104.2,5.3
