Serial Number,W30401034
Sample ID,00153
Start Time,2022-03-10 22:47:47 UTC
Duration,1 day, 3:56:36
Total Volume (l),6.0
Distance (m),13
Peak Pressure (psi),8.8
Avg Flow (l/min),1.1
Avg Rate (mL/m),532.2
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-03-10 22:47:47,0,0.00,-0.24,0.00,0.00,0.06,48.799896,-122.404146,93.0,6.2
2022-03-10 22:47:49,2,0.00,-0.21,0.00,0.00,0.06,48.799900,-122.404137,91.3,6.2
2022-03-10 22:47:51,4,0.00,-0.16,0.01,2.79,0.06,48.799906,-122.404128,89.1,6.2
2022-03-10 22:47:53,6,0.00,-0.07,0.00,0.00,0.06,48.799912,-122.404119,87.5,6.2
2022-03-10 22:47:55,8,0.00,0.02,0.00,0.00,0.06,48.799917,-122.404112,86.0,6.2
2022-03-10 22:47:57,10,0.00,0.61,0.00,0.00,0.06,48.799922,-122.404106,84.4,6.2
2022-03-10 22:47:59,12,0.00,1.45,0.00,0.00,0.05,48.799926,-122.404101,83.2,6.2
2022-03-10 22:48:01,14,0.00,2.66,0.00,0.00,0.05,48.799928,-122.404100,82.7,6.2
2022-03-10 22:48:03,16,0.00,3.14,0.00,0.00,0.04,48.799929,-122.404099,82.3,6.2
2022-03-10 22:48:05,18,0.01,6.56,0.24,104.58,0.04,48.799930,-122.404102,82.2,6.2
2022-03-10 22:48:07,20,0.06,8.81,1.07,466.23,0.04,48.799929,-122.404107,82.6,6.2
2022-03-10 22:48:09,22,0.12,2.44,1.60,656.81,0.04,48.799929,-122.404114,83.3,6.2
2022-03-10 22:48:11,24,0.16,3.90,1.35,463.92,0.05,48.799930,-122.404115,82.8,6.2
2022-03-10 22:48:13,26,0.20,3.78,1.32,420.25,0.05,48.799926,-122.404108,82.4,6.2
2022-03-10 22:48:15,28,0.25,4.53,1.30,409.58,0.05,48.799921,-122.404112,82.7,5.7
2022-03-10 22:48:17,30,0.29,4.30,1.29,368.78,0.06,48.799917,-122.404112,83.7,5.7
2022-03-10 22:48:19,32,0.33,4.26,1.30,370.05,0.06,48.799911,-122.404112,84.8,5.7
2022-03-10 22:48:21,34,0.38,4.19,1.30,392.16,0.06,48.799902,-122.404108,86.6,5.7
2022-03-10 22:48:23,36,0.42,4.21,1.30,389.34,0.06,48.799893,-122.404104,88.9,5.7
2022-03-10 22:48:25,38,0.46,4.88,1.30,399.75,0.05,48.799887,-122.404102,90.6,5.7
2022-03-10 22:48:27,40,0.51,4.87,1.30,404.61,0.05,48.799881,-122.404101,92.1,5.7
2022-03-10 22:48:29,42,0.55,4.11,1.30,424.01,0.05,48.799876,-122.404102,93.5,5.7
2022-03-10 22:48:31,44,0.59,4.10,1.30,525.89,0.04,48.799873,-122.404099,94.5,5.7
2022-03-10 22:48:33,46,0.64,4.36,1.30,554.13,0.04,48.799869,-122.404099,95.2,5.7
2022-03-10 22:48:35,48,0.68,4.08,1.30,556.98,0.04,48.799865,-122.404099,96.1,5.7
2022-03-10 22:48:37,50,0.72,4.22,1.30,628.02,0.03,48.799860,-122.404098,96.9,5.7
2022-03-10 22:48:39,52,0.76,4.12,1.30,682.41,0.03,48.799856,-122.404098,97.6,5.7
2022-03-10 22:48:41,54,0.81,4.75,1.30,646.77,0.04,48.799853,-122.404102,98.5,5.7
2022-03-10 22:48:43,56,0.85,4.69,1.30,585.59,0.04,48.799848,-122.404102,99.6,5.7
2022-03-10 22:48:45,58,0.90,4.21,1.30,567.19,0.04,48.799844,-122.404106,100.5,6.2
2022-03-10 22:48:47,60,0.94,4.08,1.30,576.24,0.04,48.799840,-122.404106,101.3,6.2
2022-03-10 22:48:49,62,0.98,4.39,1.30,564.24,0.04,48.799834,-122.404110,102.8,6.2
2022-03-10 22:48:51,64,1.03,4.39,1.30,588.77,0.04,48.799829,-122.404111,103.9,6.2
2022-03-10 22:48:53,66,1.07,4.29,1.30,598.53,0.04,48.799825,-122.404111,104.7,6.2
2022-03-10 22:48:55,68,1.11,5.06,1.30,495.24,0.04,48.799823,-122.404112,105.4,7.5
2022-03-10 22:48:57,70,1.16,4.96,1.30,408.81,0.06,48.799820,-122.404104,105.8,7.5
2022-03-10 22:48:59,72,1.20,5.02,1.30,360.21,0.06,48.799815,-122.404089,105.8,7.5
2022-03-10 22:49:01,74,1.24,5.12,1.30,345.29,0.07,48.799811,-122.404077,106.3,7.5
2022-03-10 22:49:03,76,1.29,4.97,1.30,329.78,0.06,48.799800,-122.404043,106.1,7.5
2022-03-10 22:49:05,78,1.33,4.29,1.30,333.59,0.07,48.799789,-122.403995,104.8,6.2
2022-03-10 22:49:07,80,1.37,4.80,1.30,331.04,0.07,48.799780,-122.403955,103.6,6.2
2022-03-10 22:49:09,82,1.42,4.76,1.30,334.62,0.06,48.799776,-122.403932,102.7,6.2
2022-03-10 22:49:11,84,1.46,4.40,1.30,338.01,0.06,48.799775,-122.403917,101.9,6.2
2022-03-10 22:49:13,86,1.50,4.45,1.30,347.78,0.06,48.799775,-122.403904,101.1,6.2
2022-03-10 22:49:15,88,1.55,5.12,1.30,410.35,0.05,48.799777,-122.403900,100.7,7.2
2022-03-10 22:49:17,90,1.59,4.32,1.30,532.35,0.04,48.799780,-122.403896,100.0,7.2
2022-03-10 22:49:19,92,1.63,4.50,1.30,665.64,0.03,48.799784,-122.403896,99.3,7.2
2022-03-10 22:49:21,94,1.68,4.32,1.30,743.28,0.02,48.799789,-122.403896,98.4,7.2
2022-03-10 22:49:23,96,1.72,4.43,1.30,999.00,0.02,48.799794,-122.403897,97.1,7.2
2022-03-10 22:49:25,98,1.77,4.72,1.30,833.33,0.03,48.799798,-122.403899,95.5,7.2
2022-03-10 22:49:27,100,1.81,4.57,1.30,783.60,0.03,48.799803,-122.403904,94.2,7.2
2022-03-10 22:49:29,102,1.85,4.95,1.30,776.58,0.03,48.799808,-122.403910,92.8,7.2
