Serial Number,W30401034
Sample ID,00170
Start Time,2022-05-11 01:17:46 UTC
Duration,14 days, 2:22:25
Total Volume (l),13.81
Distance (m),39
Peak Pressure (psi),13.4
Avg Flow (l/min),1.1
Avg Rate (mL/m),710.6
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-05-11 01:17:46,0,0.00,-0.70,0.19,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:17:50,4,0.00,-0.76,0.02,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:17:52,6,0.00,-0.31,0.04,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:17:54,8,0.00,-0.10,0.01,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:17:56,10,0.00,0.92,0.01,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:17:58,12,0.01,0.99,0.15,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:18:00,14,0.02,2.36,0.31,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-11 01:18:02,16,0.05,3.98,0.74,685.19,0.04,47.691566,-122.362339,84.4,250.0
2022-05-11 01:18:04,18,0.11,1.29,1.43,611.11,0.04,47.691577,-122.362342,82.6,250.0
2022-05-11 01:18:06,20,0.15,2.23,1.30,622.61,0.03,47.691580,-122.362341,82.3,9.6
2022-05-11 01:18:08,22,0.20,2.62,1.33,698.95,0.04,47.691579,-122.362341,83.0,9.6
2022-05-11 01:18:10,24,0.24,0.87,1.30,672.41,0.03,47.691575,-122.362347,86.8,9.6
2022-05-11 01:18:12,26,0.28,0.80,1.31,727.78,0.03,47.691574,-122.362351,88.4,9.6
2022-05-11 01:18:14,28,0.33,2.29,1.30,802.47,0.03,47.691574,-122.362356,89.4,9.6
2022-05-11 01:18:16,30,0.37,2.35,1.30,816.58,0.03,47.691575,-122.362359,90.0,9.0
2022-05-11 01:18:18,32,0.41,2.03,1.30,872.83,0.03,47.691575,-122.362363,90.4,9.0
