# ReportTitle: Squalicum Creek Computed Discharge (cfs),,,
# Time-series Label: Computed Discharge Squalicum Creek,,,
# Location: West Street,,,
# UTC offset: (UTC-08:00) i.e. PST,,,
# Value units: ft^3/s,,,
# Value parameter: Discharge,,,
Data Source: City of Bellingham / Public Works / Operations / Plants / Laboratory,,,
Station Location:,"Lat/Lon hddd° mm' ss.s"" (NAD83)",,
,N48 45 57.8 W122 29 58.7,,
,,,
Provisional Statement and Data Accuracy:,,,
Stream discharge data provided by the City of Bellingham that is dated prior to 10/1/2021 have been subjected to review and are substantially complete. ,,,
The City of Bellingham may revise reviewed data pursuant to further analysis and review as needed. ,,,
,,,
Stream discharge data provided by the City of Bellingham that is dated from 10/1/2021 or later are preliminary and have not received final approval. ,,,
Inaccuracies in the data may be present because of instrument malfunctions or physical changes at the measurement site. ,,,
Subsequent review may result in significant revisions to the data.,,,
,,,
The table below provides discharge data accuracy information for West Street Gauge Station on Squalicum Creek.,,,
Computed discharge data outside of these ranges are provided for continuity of the data record but should be used with discretion.,,,
,,,
Time Period,,Verified Discharge Range,
start,end,Minimum verified discharge (cfs),Maximum verified discharge (cfs)
6/17/2005,9/30/2016,0.1,820
10/1/2016,9/30/2020,0.1,836
10/1/2020,9/30/2021,0.2,400
,,,
TimeStamp,Discharge@West Street (cfs),,
1/1/2021 0:00,152.9,,
1/1/2021 0:15,155.8,,
1/1/2021 0:30,158.1,,
1/1/2021 0:45,156.8,,
1/1/2021 1:00,159.4,,
1/1/2021 1:15,157.1,,
1/1/2021 1:30,158.1,,
1/1/2021 1:45,154.5,,
1/1/2021 2:00,153.0,,
1/1/2021 2:15,152.1,,
1/1/2021 2:30,150.0,,
1/1/2021 2:45,152.6,,
1/1/2021 3:00,148.9,,
1/1/2021 3:15,149.9,,
1/1/2021 3:30,148.6,,
1/1/2021 3:45,148.6,,
1/1/2021 4:00,149.6,,
1/1/2021 4:15,150.6,,
1/1/2021 4:30,149.2,,
1/1/2021 4:45,150.2,,
1/1/2021 5:00,148.2,,
1/1/2021 5:15,150.4,,
1/1/2021 5:30,145.8,,
1/1/2021 5:45,148.2,,
1/1/2021 6:00,146.7,,
1/1/2021 6:15,149.7,,
1/1/2021 6:30,148.8,,
1/1/2021 6:45,147.3,,
1/1/2021 7:00,148.3,,
1/1/2021 7:15,147.3,,
1/1/2021 7:30,148.9,,
1/1/2021 7:45,145.9,,
1/1/2021 8:00,150.3,,
1/1/2021 8:15,148.9,,
1/1/2021 8:30,148.9,,
1/1/2021 8:45,147.6,,
1/1/2021 9:00,145.9,,
1/1/2021 9:15,146.9,,
1/1/2021 9:30,146.2,,
1/1/2021 9:45,146.0,,
1/1/2021 10:00,145.6,,
1/1/2021 10:15,147.0,,
1/1/2021 10:30,142.6,,
1/1/2021 10:45,142.6,,
1/1/2021 11:00,143.6,,
1/1/2021 11:15,142.9,,
1/1/2021 11:30,144.2,,
1/1/2021 11:45,141.3,,
1/1/2021 12:00,143.4,,
1/1/2021 12:15,141.6,,
1/1/2021 12:30,143.5,,
1/1/2021 12:45,142.6,,
1/1/2021 13:00,141.3,,
1/1/2021 13:15,140.8,,
1/1/2021 13:30,140.4,,
1/1/2021 13:45,139.7,,
1/1/2021 14:00,140.4,,
1/1/2021 14:15,138.6,,
1/1/2021 14:30,139.3,,
1/1/2021 14:45,138.7,,
1/1/2021 15:00,138.3,,
1/1/2021 15:15,138.2,,
1/1/2021 15:30,137.4,,
1/1/2021 15:45,138.0,,
1/1/2021 16:00,136.2,,
1/1/2021 16:15,139.1,,
1/1/2021 16:30,138.1,,
1/1/2021 16:45,137.0,,
1/1/2021 17:00,136.1,,
1/1/2021 17:15,138.0,,
1/1/2021 17:30,136.0,,
1/1/2021 17:45,138.7,,
1/1/2021 18:00,139.4,,
1/1/2021 18:15,140.2,,
1/1/2021 18:30,139.4,,
1/1/2021 18:45,140.0,,
1/1/2021 19:00,136.5,,
1/1/2021 19:15,137.2,,
1/1/2021 19:30,137.7,,
1/1/2021 19:45,137.4,,
1/1/2021 20:00,135.6,,
1/1/2021 20:15,133.6,,
1/1/2021 20:30,132.9,,
1/1/2021 20:45,135.8,,
1/1/2021 21:00,134.6,,
1/1/2021 21:15,136.5,,
1/1/2021 21:30,136.2,,
1/1/2021 21:45,135.4,,
1/1/2021 22:00,136.5,,
1/1/2021 22:15,138.4,,
1/1/2021 22:30,137.6,,
1/1/2021 22:45,138.2,,
1/1/2021 23:00,139.4,,
1/1/2021 23:15,138.1,,
1/1/2021 23:30,139.9,,
1/1/2021 23:45,138.8,,
1/2/2021 0:00,139.0,,
1/2/2021 0:15,140.3,,
1/2/2021 0:30,138.5,,
1/2/2021 0:45,138.9,,
1/2/2021 1:00,141.3,,
1/2/2021 1:15,138.8,,
1/2/2021 1:30,139.5,,
1/2/2021 1:45,139.5,,
1/2/2021 2:00,137.3,,
1/2/2021 2:15,138.7,,
1/2/2021 2:30,134.5,,
1/2/2021 2:45,136.9,,
1/2/2021 3:00,135.7,,
1/2/2021 3:15,135.9,,
1/2/2021 3:30,134.5,,
1/2/2021 3:45,133.4,,
1/2/2021 4:00,133.3,,
1/2/2021 4:15,134.4,,
1/2/2021 4:30,134.0,,
1/2/2021 4:45,134.1,,
1/2/2021 5:00,135.0,,
1/2/2021 5:15,131.7,,
1/2/2021 5:30,132.7,,
1/2/2021 5:45,131.7,,
1/2/2021 6:00,131.3,,
1/2/2021 6:15,132.0,,
1/2/2021 6:30,131.3,,
1/2/2021 6:45,131.1,,
1/2/2021 7:00,132.8,,
1/2/2021 7:15,128.9,,
1/2/2021 7:30,129.7,,
1/2/2021 7:45,129.2,,
1/2/2021 8:00,129.4,,
1/2/2021 8:15,127.9,,
1/2/2021 8:30,128.6,,
1/2/2021 8:45,128.3,,
1/2/2021 9:00,129.3,,
1/2/2021 9:15,127.7,,
1/2/2021 9:30,128.6,,
1/2/2021 9:45,129.6,,
1/2/2021 10:00,128.6,,
1/2/2021 10:15,127.4,,
1/2/2021 10:30,127.6,,
1/2/2021 10:45,127.2,,
1/2/2021 11:00,125.5,,
1/2/2021 11:15,127.1,,
1/2/2021 11:30,126.8,,
1/2/2021 11:45,126.5,,
1/2/2021 12:00,125.5,,
1/2/2021 12:15,126.3,,
1/2/2021 12:30,126.7,,
1/2/2021 12:45,125.2,,
1/2/2021 13:00,128.3,,
1/2/2021 13:15,128.9,,
1/2/2021 13:30,132.2,,
1/2/2021 13:45,133.5,,
1/2/2021 14:00,139.6,,
1/2/2021 14:15,146.8,,
1/2/2021 14:30,155.3,,
1/2/2021 14:45,160.4,,
1/2/2021 15:00,166.5,,
1/2/2021 15:15,170.3,,
1/2/2021 15:30,175.2,,
1/2/2021 15:45,176.2,,
1/2/2021 16:00,177.3,,
1/2/2021 16:15,178.8,,
1/2/2021 16:30,177.0,,
1/2/2021 16:45,177.0,,
1/2/2021 17:00,177.9,,
1/2/2021 17:15,181.2,,
1/2/2021 17:30,197.1,,
1/2/2021 17:45,219.0,,
1/2/2021 18:00,225.7,,
1/2/2021 18:15,223.0,,
1/2/2021 18:30,233.8,,
1/2/2021 18:45,233.6,,
1/2/2021 19:00,234.1,,
1/2/2021 19:15,238.2,,
1/2/2021 19:30,239.9,,
1/2/2021 19:45,245.6,,
1/2/2021 20:00,242.7,,
1/2/2021 20:15,248.4,,
1/2/2021 20:30,248.6,,
1/2/2021 20:45,253.3,,
1/2/2021 21:00,253.8,,
1/2/2021 21:15,255.8,,
1/2/2021 21:30,260.7,,
1/2/2021 21:45,261.9,,
1/2/2021 22:00,271.9,,
1/2/2021 22:15,273.4,,
1/2/2021 22:30,277.9,,
1/2/2021 22:45,285.4,,
1/2/2021 23:00,287.9,,
1/2/2021 23:15,295.0,,
1/2/2021 23:30,289.6,,
1/2/2021 23:45,294.4,,
1/3/2021 0:00,292.8,,
1/3/2021 0:15,293.5,,
1/3/2021 0:30,289.7,,
1/3/2021 0:45,287.8,,
1/3/2021 1:00,292.3,,
1/3/2021 1:15,286.2,,
1/3/2021 1:30,290.6,,
1/3/2021 1:45,284.6,,
1/3/2021 2:00,284.2,,
1/3/2021 2:15,277.3,,
1/3/2021 2:30,278.8,,
1/3/2021 2:45,272.8,,
1/3/2021 3:00,273.2,,
1/3/2021 3:15,267.9,,
1/3/2021 3:30,265.5,,
1/3/2021 3:45,268.2,,
1/3/2021 4:00,263.8,,
1/3/2021 4:15,259.4,,
1/3/2021 4:30,256.9,,
1/3/2021 4:45,254.0,,
1/3/2021 5:00,252.6,,
1/3/2021 5:15,249.3,,
1/3/2021 5:30,250.7,,
1/3/2021 5:45,242.4,,
1/3/2021 6:00,242.8,,
1/3/2021 6:15,239.9,,
1/3/2021 6:30,242.3,,
1/3/2021 6:45,240.7,,
1/3/2021 7:00,238.2,,
1/3/2021 7:15,233.8,,
1/3/2021 7:30,236.7,,
1/3/2021 7:45,233.6,,
1/3/2021 8:00,232.1,,
1/3/2021 8:15,229.8,,
1/3/2021 8:30,228.4,,
1/3/2021 8:45,227.6,,
1/3/2021 9:00,227.8,,
1/3/2021 9:15,222.1,,
1/3/2021 9:30,221.8,,
1/3/2021 9:45,219.8,,
1/3/2021 10:00,217.9,,
1/3/2021 10:15,215.2,,
1/3/2021 10:30,217.1,,
1/3/2021 10:45,212.6,,
1/3/2021 11:00,212.3,,
1/3/2021 11:15,214.8,,
1/3/2021 11:30,212.2,,
1/3/2021 11:45,210.4,,
1/3/2021 12:00,209.3,,
1/3/2021 12:15,209.0,,
1/3/2021 12:30,207.5,,
1/3/2021 12:45,206.2,,
1/3/2021 13:00,204.5,,
1/3/2021 13:15,201.4,,
1/3/2021 13:30,200.0,,
1/3/2021 13:45,198.1,,
1/3/2021 14:00,197.2,,
1/3/2021 14:15,193.2,,
1/3/2021 14:30,197.5,,
1/3/2021 14:45,192.5,,
1/3/2021 15:00,196.3,,
1/3/2021 15:15,191.1,,
1/3/2021 15:30,192.7,,
1/3/2021 15:45,190.8,,
1/3/2021 16:00,188.0,,
1/3/2021 16:15,184.8,,
1/3/2021 16:30,185.7,,
1/3/2021 16:45,184.9,,
1/3/2021 17:00,185.4,,
1/3/2021 17:15,180.3,,
1/3/2021 17:30,178.7,,
1/3/2021 17:45,178.4,,
1/3/2021 18:00,176.4,,
1/3/2021 18:15,178.2,,
1/3/2021 18:30,174.3,,
1/3/2021 18:45,174.3,,
1/3/2021 19:00,171.9,,
1/3/2021 19:15,173.6,,
1/3/2021 19:30,174.3,,
1/3/2021 19:45,170.4,,
1/3/2021 20:00,169.4,,
1/3/2021 20:15,168.8,,
1/3/2021 20:30,166.9,,
1/3/2021 20:45,167.4,,
1/3/2021 21:00,165.1,,
1/3/2021 21:15,164.3,,
1/3/2021 21:30,163.5,,
1/3/2021 21:45,162.5,,
1/3/2021 22:00,161.6,,
1/3/2021 22:15,160.2,,
1/3/2021 22:30,160.3,,
1/3/2021 22:45,156.4,,
1/3/2021 23:00,158.3,,
1/3/2021 23:15,157.0,,
1/3/2021 23:30,155.2,,
1/3/2021 23:45,154.0,,
1/4/2021 0:00,154.3,,
1/4/2021 0:15,152.5,,
1/4/2021 0:30,153.5,,
1/4/2021 0:45,152.5,,
1/4/2021 1:00,153.6,,
1/4/2021 1:15,154.1,,
1/4/2021 1:30,154.1,,
1/4/2021 1:45,156.0,,
1/4/2021 2:00,155.0,,
1/4/2021 2:15,153.8,,
1/4/2021 2:30,152.4,,
1/4/2021 2:45,153.0,,
1/4/2021 3:00,149.8,,
1/4/2021 3:15,149.4,,
1/4/2021 3:30,148.1,,
1/4/2021 3:45,147.7,,
1/4/2021 4:00,146.9,,
1/4/2021 4:15,145.9,,
1/4/2021 4:30,146.1,,
1/4/2021 4:45,144.4,,
1/4/2021 5:00,144.5,,
1/4/2021 5:15,145.0,,
1/4/2021 5:30,145.4,,
