copy_no,dilution,date_qPCR,qPCR_no,target,use,extract,notes,sample
NA,100,7/20/22,COHO-001,coho,1,1,NA,0321.1Prt.Dn.1
NA,100,7/20/22,COHO-001,coho,1,1,NA,0321.1Prt.Dn.2
NA,100,7/20/22,COHO-001,coho,1,1,NA,0321.1Prt.Dn.3
NA,100,7/20/22,COHO-001,coho,1,1,NA,0321.1Prt.Up.1
NA,100,7/20/22,COHO-001,coho,1,1,NA,0321.1Prt.Up.2
NA,100,7/20/22,COHO-001,coho,1,1,NA,0321.1Prt.Up.3
NA,1,7/20/22,COHO-001,coho,1,1,NA,0321.2Brn.Dn.1
NA,1,7/20/22,COHO-001,coho,1,1,NA,0321.2Brn.Dn.2
NA,10,7/20/22,COHO-001,coho,1,1,NA,0521.2Brn.Up.1
NA,10,7/20/22,COHO-001,coho,1,1,NA,0521.2Brn.Up.2
NA,10,7/20/22,COHO-001,coho,1,1,NA,0521.2Brn.Up.3
NA,100,7/20/22,COHO-001,coho,1,1,NA,0521.3Chk.Up.1
NA,1,7/20/22,COHO-001,coho,0,1,use new dilution in COHO-010,0621.2Brn.Up.1
NA,1,7/20/22,COHO-001,coho,0,1,use new dilution in COHO-010,0621.2Brn.Up.2
NA,1,7/20/22,COHO-001,coho,1,1,NA,0621.2Brn.Up.3
NA,1,7/20/22,COHO-001,coho,0,1,use new dilution in COHO-010,0721.2Brn.Up.1
NA,1,7/20/22,COHO-001,coho,0,1,use new dilution in COHO-010,0721.2Brn.Up.2
NA,1,7/20/22,COHO-001,coho,1,1,NA,0721.2Brn.Up.3
NA,1,7/20/22,COHO-001,coho,1,1,NA,0821.2Brn.Up.1
NA,1,7/20/22,COHO-001,coho,0,1,use new dilution in COHO-010,0821.2Brn.Up.2
NA,1,7/20/22,COHO-001,coho,1,1,NA,0821.2Brn.Up.3
NA,1,7/20/22,COHO-001,coho,0,1,use new dilution in COHO-011,0921.2Brn.Up.1
NA,1,7/20/22,COHO-001,coho,1,1,NA,0921.2Brn.Up.2
NA,1,7/20/22,COHO-001,coho,1,NA,NA,NTC
1.00E+05,NA,7/20/22,COHO-001,coho,1,NA,NA,St1
10000,NA,7/20/22,COHO-001,coho,1,NA,NA,St2
1000,NA,7/20/22,COHO-001,coho,1,NA,NA,St3
100,NA,7/20/22,COHO-001,coho,1,NA,NA,St4
10,NA,7/20/22,COHO-001,coho,1,NA,NA,St5
5,NA,7/20/22,COHO-001,coho,1,NA,NA,St6
3,NA,7/20/22,COHO-001,coho,1,NA,NA,St7
1,NA,7/20/22,COHO-001,coho,1,NA,NA,St8
NA,10,7/20/22,COHO-002,coho,1,1,NA,0122.2Brn.Up.1
NA,10,7/20/22,COHO-002,coho,1,1,NA,0122.2Brn.Up.2
NA,10,7/20/22,COHO-002,coho,1,1,NA,0122.2Brn.Up.3
NA,1,7/20/22,COHO-002,coho,1,1,NA,0222.2Brn.Up.1
NA,1,7/20/22,COHO-002,coho,1,1,NA,0921.2Brn.Up.3
NA,1,7/20/22,COHO-002,coho,1,1,NA,1021.2Brn.Up.1
NA,1,7/20/22,COHO-002,coho,1,1,NA,1021.2Brn.Up.2
NA,1,7/20/22,COHO-002,coho,1,1,NA,1021.2Brn.Up.3
NA,10,7/20/22,COHO-002,coho,0,1,use new dilution in COHO-011,1121.1Prt.Up.1
NA,10,7/20/22,COHO-002,coho,0,1,use new dilution in COHO-011,1121.1Prt.Up.2
NA,100,7/20/22,COHO-002,coho,1,1,NA,1121.1Prt.Up.3
NA,10,7/20/22,COHO-002,coho,1,1,NA,1121.2Brn.Dn.2
NA,10,7/20/22,COHO-002,coho,1,1,NA,1121.2Brn.Dn.3
NA,1,7/20/22,COHO-002,coho,1,1,NA,1121.2Brn.Up.1
NA,1,7/20/22,COHO-002,coho,1,1,NA,1121.2Brn.Up.2
NA,1,7/20/22,COHO-002,coho,1,1,NA,1121.2Brn.Up.3
NA,100,7/20/22,COHO-002,coho,0,1,use lower stddev in COHO-006,1221.1Prt.Dn.2
NA,10,7/20/22,COHO-002,coho,0,1,use new dilution in COHO-011,1221.1Prt.Dn.3
NA,10,7/20/22,COHO-002,coho,0,1,use new dilution in COHO-011,1221.1Prt.Up.1
NA,1,7/20/22,COHO-002,coho,1,1,NA,1221.2Brn.Dn.2
NA,1,7/20/22,COHO-002,coho,1,1,NA,1221.2Brn.Up.1
NA,1,7/20/22,COHO-002,coho,1,1,NA,1221.2Brn.Up.2
NA,1,7/20/22,COHO-002,coho,1,1,NA,1221.2Brn.Up.3
NA,NA,7/20/22,COHO-002,coho,1,NA,NA,NTC
1.00E+05,NA,7/20/22,COHO-002,coho,1,NA,NA,St1
10000,NA,7/20/22,COHO-002,coho,1,NA,NA,St2
1000,NA,7/20/22,COHO-002,coho,1,NA,NA,St3
100,NA,7/20/22,COHO-002,coho,1,NA,NA,St4
10,NA,7/20/22,COHO-002,coho,1,NA,NA,St5
5,NA,7/20/22,COHO-002,coho,1,NA,NA,St6
3,NA,7/20/22,COHO-002,coho,1,NA,NA,St7
1,NA,7/20/22,COHO-002,coho,1,NA,NA,St8
NA,1,7/20/22,COHO-003,coho,1,1,NA,0222.2Brn.Up.2
NA,1,7/20/22,COHO-003,coho,1,1,NA,0222.2Brn.Up.3
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.3Chk.Dn.2
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.3Chk.Dn.3
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.3Chk.Up.1
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.3Chk.Up.1
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.3Chk.Up.2
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.5Sqm.Dn.2
NA,10,7/20/22,COHO-003,coho,1,1,NA,0222.5Sqm.Up.1
NA,NA,7/20/22,COHO-003,coho,1,1,NA,0321.EB
