qPCR_name,new_name,plate
PadDn_1_0322_10,0322.4Pad.Dn.1,COHO-098
PadDn_1_0422_1,0422.4Pad.Dn.1,COHO-098
PadDn_1_0522_1,0522.4Pad.Dn.1,COHO-098
PadDn_1_0522_TR2_1,0522.4Pad.Dn.1,COHO-098
PadDn_1_0522_TR3_1,0522.4Pad.Dn.1,COHO-098
PadDn_1_0622_10,0622.4Pad.Dn.1,COHO-098
PadDn_1_0722_1,0722.4Pad.Dn.1,CUT-IN-099
PadDn_1_0722_1,0722.4Pad.Dn.1,COHO-099
PadDn_1_0822_1,0822.4Pad.Dn.1,CUT-IN-099
PadDn_1_0822_1,0822.4Pad.Dn.1,COHO-099
PadDn_1_1222_1,1222.4Pad.Dn.1,CUT-IN-099
PadDn_1_1222_1,1222.4Pad.Dn.1,COHO-099
PadDn_2_0322_10,0322.4Pad.Dn.2,COHO-098
PadDn_2_0422_1,0422.4Pad.Dn.2,COHO-098
PadDn_2_0522_1,0522.4Pad.Dn.2,COHO-098
PadDn_2_0622_10,0622.4Pad.Dn.2,COHO-098
PadDn_2_0722_1,0722.4Pad.Dn.2,CUT-IN-099
PadDn_2_0722_1,0722.4Pad.Dn.2,COHO-099
PadDn_2_0822_1,0822.4Pad.Dn.2,CUT-IN-099
PadDn_2_0822_1,0822.4Pad.Dn.2,COHO-099
PadDn_2_1222_1,1222.4Pad.Dn.2,CUT-IN-099
PadDn_2_1222_1,1222.4Pad.Dn.2,COHO-099
PadDn_3_0322_10,0322.4Pad.Dn.3,COHO-098
PadDn_3_0422_1,0422.4Pad.Dn.3,COHO-098
PadDn_3_0522_1,0522.4Pad.Dn.3,COHO-098
PadDn_3_0622_10,0622.4Pad.Dn.3,COHO-098
PadDn_3_0722_10,0722.4Pad.Dn.3,CUT-IN-099
PadDn_3_0722_10,0722.4Pad.Dn.3,COHO-099
PadDn_3_0822_1,0822.4Pad.Dn.3,CUT-IN-099
PadDn_3_0822_1,0822.4Pad.Dn.3,COHO-099
PadDn_3_1222_1,1222.4Pad.Dn.3,CUT-IN-099
PadDn_3_1222_1,1222.4Pad.Dn.3,COHO-099
PadDn1.0322 1:10,0322.4Pad.Dn.1,CUT-IN-098
PadDn1.0422,0422.4Pad.Dn.1,CUT-IN-098
PadDn1.0522,0522.4Pad.Dn.1,CUT-IN-098
PadDn1.0522TR2,0522.4Pad.Dn.1,CUT-IN-098
PadDn1.0522TR3,0522.4Pad.Dn.1,CUT-IN-098
PadDn1.0622 1:10,0622.4Pad.Dn.1,CUT-IN-098
PadDn2.0322 1:10,0322.4Pad.Dn.2,CUT-IN-098
PadDn2.0422,0422.4Pad.Dn.2,CUT-IN-098
PadDn2.0522,0522.4Pad.Dn.2,CUT-IN-098
PadDn2.0622 1:10,0622.4Pad.Dn.2,CUT-IN-098
PadDn3.0322 1:10,0322.4Pad.Dn.3,CUT-IN-098
PadDn3.0422,0422.4Pad.Dn.3,CUT-IN-098
PadDn3.0522,0522.4Pad.Dn.3,CUT-IN-098
PadDn3.0622 1:10,0622.4Pad.Dn.3,CUT-IN-098
PadUp11_1_0322_1,0322.4Pad.Up11.1,COHO-098
PadUp11_1_0422_1,0422.4Pad.Up11.1,COHO-098
PadUp11_1_0522_10,0522.4Pad.Up11.1,COHO-098
PadUp11_1_0622_10,0622.4Pad.Up11.1,COHO-098
PadUp11_1_0722_100,0722.4Pad.Up11.1,CUT-IN-099
PadUp11_1_0722_100,0722.4Pad.Up11.1,COHO-099
PadUp11_1_0722TR2_100,0722.4Pad.Up11.1,CUT-IN-099
PadUp11_1_0722TR2_100,0722.4Pad.Up11.1,COHO-099
PadUp11_1_0722TR3_100,0722.4Pad.Up11.1,CUT-IN-099
PadUp11_1_0722TR3_100,0722.4Pad.Up11.1,COHO-099
PadUp11_1_0822_1,0822.4Pad.Up11.1,CUT-IN-099
PadUp11_1_0822_1,0822.4Pad.Up11.1,COHO-099
PadUp11_1_1222_1,1222.4Pad.Up11.1,CUT-IN-099
PadUp11_1_1222_1,1222.4Pad.Up11.1,COHO-099
PadUp11_2_0322_1,0322.4Pad.Up11.2,COHO-098
PadUp11_2_0422_1,0422.4Pad.Up11.2,COHO-098
PadUp11_2_0522_1,0522.4Pad.Up11.2,COHO-098
PadUp11_2_0622_10,0622.4Pad.Up11.2,COHO-098
PadUp11_2_0722_10,0722.4Pad.Up11.2,CUT-IN-099
PadUp11_2_0722_10,0722.4Pad.Up11.2,COHO-099
PadUp11_2_0822_10,0822.4Pad.Up11.2,CUT-IN-099
PadUp11_2_0822_10,0822.4Pad.Up11.2,COHO-099
PadUp11_2_1222_1,1222.4Pad.Up11.2,CUT-IN-099
PadUp11_2_1222_1,1222.4Pad.Up11.2,COHO-099
PadUp11_3_0322_1,0322.4Pad.Up11.3,COHO-098
PadUp11_3_0422_1,0422.4Pad.Up11.3,COHO-098
PadUp11_3_0522_1,0522.4Pad.Up11.3,COHO-098
PadUp11_3_0622_10,0622.4Pad.Up11.3,COHO-098
PadUp11_3_0722_10,0722.4Pad.Up11.3,CUT-IN-099
PadUp11_3_0722_10,0722.4Pad.Up11.3,COHO-099
PadUp11_3_0822_1,0822.4Pad.Up11.3,CUT-IN-099
PadUp11_3_0822_1,0822.4Pad.Up11.3,COHO-099
PadUp11_3_1222_1,1222.4Pad.Up11.3,CUT-IN-099
PadUp11_3_1222_1,1222.4Pad.Up11.3,COHO-099
PadUp11.1.0322,0322.4Pad.Up11.1,CUT-IN-098
PadUp11.1.0422,0422.4Pad.Up11.1,CUT-IN-098
PadUp11.1.0522 1:10,0522.4Pad.Up11.1,CUT-IN-098
PadUp11.1.0622 1:10,0622.4Pad.Up11.1,CUT-IN-098
PadUp11.2.0322,0322.4Pad.Up11.2,CUT-IN-098
PadUp11.2.0422,0422.4Pad.Up11.2,CUT-IN-098
PadUp11.2.0522,0522.4Pad.Up11.2,CUT-IN-098
PadUp11.2.0622 1:10,0622.4Pad.Up11.2,CUT-IN-098
PadUp11.3.0322,0322.4Pad.Up11.3,CUT-IN-098
PadUp11.3.0422,0422.4Pad.Up11.3,CUT-IN-098
PadUp11.3.0522,0522.4Pad.Up11.3,CUT-IN-098
PadUp11.3.0622 1:10,0622.4Pad.Up11.3,CUT-IN-098
PadUp5_1_0322_1,0322.4Pad.Up5.1,COHO-098
PadUp5_1_0422_1,0422.4Pad.Up5.1,COHO-098
PadUp5_1_0522_1,0522.4Pad.Up5.1,COHO-098
PadUp5_1_0622_10,0622.4Pad.Up5.1,COHO-098
PadUp5_1_0722_10,722.4Pad.Up5.1,CUT-IN-099
PadUp5_1_0722_10,0722.4Pad.Up5.1,COHO-099
PadUp5_1_0822_1,822.4Pad.Up5.1,CUT-IN-099
PadUp5_1_0822_1,0822.4Pad.Up5.1,COHO-099
PadUp5_1_1222_1,1222.4Pad.Up5.1,CUT-IN-099
PadUp5_1_1222_1,1222.4Pad.Up5.1,COHO-099
PadUp5_2_0322_1_1,0322.4Pad.Up5.2,COHO-098
PadUp5_2_0422_1,0422.4Pad.Up5.2,COHO-098
PadUp5_2_0522_1,0522.4Pad.Up5.2,COHO-098
PadUp5_2_0622_10,0622.4Pad.Up5.2,COHO-098
PadUp5_2_0722_1,722.4Pad.Up5.2,CUT-IN-099
PadUp5_2_0722_1,0722.4Pad.Up5.2,COHO-099
PadUp5_2_0822_1,822.4Pad.Up5.2,CUT-IN-099
PadUp5_2_0822_1,0822.4Pad.Up5.2,COHO-099
PadUp5_2_1222_1,1222.4Pad.Up5.2,CUT-IN-099
PadUp5_2_1222_1,1222.4Pad.Up5.2,COHO-099
PadUp5_3_0322_1,0322.4Pad.Up5.3,COHO-098
PadUp5_3_0422_1,0422.4Pad.Up5.3,COHO-098
PadUp5_3_0522_1,0522.4Pad.Up5.3,COHO-098
PadUp5_3_0622_10,0622.4Pad.Up5.3,COHO-098
PadUp5_3_0722_10,722.4Pad.Up5.3,CUT-IN-099
PadUp5_3_0722_10,0722.4Pad.Up5.3,COHO-099
PadUp5_3_0822_1,822.4Pad.Up5.3,CUT-IN-099
PadUp5_3_0822_1,0822.4Pad.Up5.3,COHO-099
PadUp5_3_1222_1,1222.4Pad.Up5.3,CUT-IN-099
PadUp5_3_1222_1,1222.4Pad.Up5.3,COHO-099
PadUp5.1.0322,0322.4Pad.Up5.1,CUT-IN-098
PadUp5.1.0422,0422.4Pad.Up5.1,CUT-IN-098
PadUp5.1.0522,0522.4Pad.Up5.1,CUT-IN-098
PadUp5.1.0622 1:10,0622.4Pad.Up5.1,CUT-IN-098
PadUp5.2.0322,0322.4Pad.Up5.2,CUT-IN-098
PadUp5.2.0422,0422.4Pad.Up5.2,CUT-IN-098
PadUp5.2.0522,0522.4Pad.Up5.2,CUT-IN-098
PadUp5.2.0622 1:10,0622.4Pad.Up5.2,CUT-IN-098
PadUp5.3.0322,0322.4Pad.Up5.3,CUT-IN-098
PadUp5.3.0422,0422.4Pad.Up5.3,CUT-IN-098
PadUp5.3.0522,0522.4Pad.Up5.3,CUT-IN-098
PadUp5.3.0622 1:10,0622.4Pad.Up5.3,CUT-IN-098
PrtDn_1_0322_100,0322.1Prt.Dn.1,COHO-098
PrtDn_1_0422_10,0422.1Prt.Dn.1,COHO-098
PrtDn_1_0422_TR2_10,0422.1Prt.Dn.1,COHO-098
PrtDn_1_0422_TR3_10,0422.1Prt.Dn.1,COHO-098
PrtDn_1_0522_10,0522.1Prt.Dn.1,COHO-098
PrtDn_1_0622_100,0622.1Prt.Dn.1,COHO-098
PrtDn_1_0722_100,0722.1Prt.Dn.1,CUT-IN-099
PrtDn_1_0722_100,0722.1Prt.Dn.1,COHO-099
PrtDn_1_07220,0722.1Prt.Dn.1,CUT-IN-099
PrtDn_1_07220,0722.1Prt.Dn.1,COHO-099
PrtDn_1_0822_100,0822.1Prt.Dn.1,CUT-IN-099
PrtDn_1_0822_100,0822.1Prt.Dn.1,COHO-099
PrtDn_1_1222_10,1222.1Prt.Dn.1,CUT-IN-099
PrtDn_1_1222_10,1222.1Prt.Dn.1,COHO-099
PrtDn_2_0322_100,0322.1Prt.Dn.2,COHO-098
PrtDn_2_0422_10,0422.1Prt.Dn.2,COHO-098
PrtDn_2_0522_10,0522.1Prt.Dn.2,COHO-098
PrtDn_2_0622_100,0622.1Prt.Dn.2,COHO-098
PrtDn_2_0722_100,0722.1Prt.Dn.2,CUT-IN-099
PrtDn_2_0722_100,0722.1Prt.Dn.2,COHO-099
PrtDn_2_0822_100,0822.1Prt.Dn.2,CUT-IN-099
PrtDn_2_0822_100,0822.1Prt.Dn.2,COHO-099
PrtDn_2_1222_1,1222.1Prt.Dn.2,CUT-IN-099
PrtDn_2_1222_1,1222.1Prt.Dn.2,COHO-099
PrtDn_3_0322_100,0322.1Prt.Dn.3,COHO-098
PrtDn_3_0422_10,0422.1Prt.Dn.3,COHO-098
PrtDn_3_0522_10,0522.1Prt.Dn.3,COHO-098
PrtDn_3_0622_100,0622.1Prt.Dn.3,COHO-098
PrtDn_3_0722_100,0722.1Prt.Dn.3,CUT-IN-099
PrtDn_3_0722_100,0722.1Prt.Dn.3,COHO-099
PrtDn_3_0822_100,0822.1Prt.Dn.3,CUT-IN-099
PrtDn_3_0822_100,0822.1Prt.Dn.3,COHO-099
PrtDn_3_1222_1,1222.1Prt.Dn.3,CUT-IN-099
PrtDn_3_1222_1,1222.1Prt.Dn.3,COHO-099
PrtDn1.0322 1:100,0322.1Prt.Dn.1,CUT-IN-098
PrtDn1.0422 1:10,0422.1Prt.Dn.1,CUT-IN-098
PrtDn1.0422TR2 1:10,0422.1Prt.Dn.1,CUT-IN-098
PrtDn1.0422TR3 1:10,0422.1Prt.Dn.1,CUT-IN-098
PrtDn1.0522 1:10,0522.1Prt.Dn.1,CUT-IN-098
PrtDn1.0622 1:100,0622.1Prt.Dn.1,CUT-IN-098
PrtDn2.0322 1:100,0322.1Prt.Dn.2,CUT-IN-098
PrtDn2.0422 1:10,0422.1Prt.Dn.2,CUT-IN-098
PrtDn2.0522 1:10,0522.1Prt.Dn.2,CUT-IN-098
PrtDn2.0622 1:100,0622.1Prt.Dn.2,CUT-IN-098
PrtDn3.0322 1:100,0322.1Prt.Dn.3,CUT-IN-098
PrtDn3.0422 1:10,0422.1Prt.Dn.3,CUT-IN-098
PrtDn3.0522 1:10,0522.1Prt.Dn.3,CUT-IN-098
PrtDn3.0622 1:100,0622.1Prt.Dn.3,CUT-IN-098
PrtUp_1_0322_100,0322.1Prt.Up.1,COHO-098
PrtUp_1_0422_10,0422.1Prt.Up.1,COHO-098
PrtUp_1_0522_10,0522.1Prt.Up.1,COHO-098
PrtUp_1_0622_100,0622.1Prt.Up.1,COHO-098
PrtUp_1_0722_10,0722.1Prt.Up.1,CUT-IN-099
PrtUp_1_0722_10,0722.1Prt.Up.1,COHO-099
PrtUp_1_0822_100,0822.1Prt.Up.1,CUT-IN-099
PrtUp_1_0822_100,0822.1Prt.Up.1,COHO-099
PrtUp_1_1222_10,1222.1Prt.Up.1,CUT-IN-099
PrtUp_1_1222_10,1222.1Prt.Up.1,COHO-099
PrtUp_2_0322_100,0322.1Prt.Up.2,COHO-098
PrtUp_2_0422_10,0422.1Prt.Up.2,COHO-098
PrtUp_2_0522_10,0522.1Prt.Up.2,COHO-098
PrtUp_2_0622_100,0622.1Prt.Up.2,COHO-098
PrtUp_2_0722_10,722.1Prt.Up.2,CUT-IN-099
PrtUp_2_0722_10,0722.1Prt.Up.2,COHO-099
PrtUp_2_0822_10,822.1Prt.Up.2,CUT-IN-099
PrtUp_2_0822_10,0822.1Prt.Up.2,COHO-099
PrtUp_2_1222_10,1222.1Prt.Up.2,CUT-IN-099
PrtUp_2_1222_10,1222.1Prt.Up.2,COHO-099
PrtUp_3_0322_100,0322.1Prt.Up.3,COHO-098
PrtUp_3_0422_10,0422.1Prt.Up.3,COHO-098
PrtUp_3_0522_10,0522.1Prt.Up.3,COHO-098
PrtUp_3_0622_100,0622.1Prt.Up.3,COHO-098
