Survey Date,Stream Name,Temperature - C,Stream Flow,Visibility,Weather,Observation Type,Species,Run Year,Survey Type,Redd Count,Fish Count,Comment,,,,,,survey_comment
2016-10-06,Padden Cr (01.0622),11.5,Low,Very Good,Raining,,,,,,,,,,,,,
2016-10-11,Padden Cr (01.0622),8,Medium,Very Good,Sunny,,,,,,,,,,,,,
2016-10-17,Padden Cr (01.0622),12,Medium Low,Fair,Cloudy,,,,,,,,,,,,,
2016-10-24,Padden Cr (01.0622),10.2,Medium Low,Fair,Cloudy,Live Fish,Unknown,2016,index,,2,,,,,,,
2016-11-04,Padden Cr (01.0622),11,Medium High,Fair,Cloudy,Carcass,Coho,2016,index,,1,,,,,,,
2016-11-09,Padden Cr (01.0622),13,High,Poor,Raining,,,,,,,,,,,,,
2016-11-14,Padden Cr (01.0622),11,Medium,Good,Cloudy,Live Fish,Chum,2016,index,,1,,,,,,,
2016-11-14,Padden Cr (01.0622),11,Medium,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Carcass,Coho,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Live Fish,Chum,2016,index,,3,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Live Fish,Chum,2016,index,,2,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Live Fish,Coho,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Live Fish,Steelhead,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Live Fish,Kokanee,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Carcass,Kokanee,2016,index,,1,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Live Fish,Kokanee,2016,index,,12,,,,,,,
2016-11-21,Padden Cr (01.0622),10,Medium Low,Excellent,Cloudy,Fish Redd,Unknown,2016,index,1,,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Live Fish,Chum,2016,index,,3,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Carcass,Coho,2016,index,,1,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Live Fish,Kokanee,2016,index,,1,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Live Fish,Chum,2016,index,,1,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Live Fish,Chum,2016,index,,4,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Live Fish,Kokanee,2016,index,,4,,,,,,,
2016-11-28,Padden Cr (01.0622),8,Medium High,Fair,Cloudy,Live Fish,Unknown,2016,index,,9,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Live Fish,Chum,2016,index,,1,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Live Fish,Chum,2016,index,,3,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Carcass,Kokanee,2016,index,,1,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Carcass,Chum,2016,index,,2,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Live Fish,Chum,2016,index,,3,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Live Fish,Chum,2016,index,,14,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Carcass,Chum,2016,index,,2,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Carcass,Coho,2016,index,,1,,,,,,,
2016-12-05,Padden Cr (01.0622),6.5,Medium High,Good,Cloudy,Live Fish,Kokanee,2016,index,,5,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Live Fish,Chum,2016,index,,7,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Fish Redd,Chum,2016,index,1,,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,7,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,2,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Live Fish,Chum,2016,index,,6,,,,,,,
2016-12-13,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Live Fish,Unknown,2016,index,,2,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Unknown,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Unknown,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Coho,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Live Fish,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Live Fish,Unknown,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Live Fish,Unknown,2016,index,,2,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-19,Padden Cr (01.0622),4,High,Fair,Cloudy,Live Fish,Chum,2016,index,,1,,,,,,,
2016-12-28,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,2,,,,,,,
2016-12-28,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,2,,,,,,,
2016-12-28,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2016-12-28,Padden Cr (01.0622),4,Medium Low,Good,Cloudy,Fish Redd,Unknown,2016,index,1,,,,,,,,
2017-01-03,Padden Cr (01.0622),0.5,Medium Low,Good,Sunny,Carcass,Chum,2016,index,,1,,,,,,,
2017-01-03,Padden Cr (01.0622),0.5,Medium Low,Good,Sunny,Carcass,Chum,2016,index,,1,,,,,,,
2017-01-09,Padden Cr (01.0622),2,Medium,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2017-01-09,Padden Cr (01.0622),2,Medium,Fair,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2017-01-18,Padden Cr (01.0622),4,Low,Good,windy,,,,,,,,,,,,,
2017-01-23,Padden Cr (01.0622),3,Medium Low,Good,Cloudy,Carcass,Unknown,2016,index,,1,,,,,,,
2017-01-23,Padden Cr (01.0622),3,Medium Low,Good,Cloudy,Carcass,Chum,2016,index,,1,,,,,,,
2017-01-30,Padden Cr (01.0622),4,Low,Good,Cloudy,,,,,,,,,,,,,
2017-02-08,Padden Cr (01.0622),1,Medium Low,Very Good,Cloudy,,,,,,,,,,,,,
2017-02-13,Padden Cr (01.0622),2,High,Fair,Sunny,,,,,,,,,,,,,
2017-02-21,Padden Cr (01.0622),5,Medium Low,Fair,Cloudy,,,,,,,,,,,,,
2017-02-23,Padden Cr (01.0622),,Medium Low,Good,Cloudy,Live Fish,Steelhead,2016,supp,,1,,,,,,,
2017-02-27,Padden Cr (01.0622),3,Medium Low,Good,Cloudy,Fish Redd,Steelhead,2016,index,1,,,,,,,,
2017-03-21,Padden Cr (01.0622),6.5,Medium Low,Good,Raining,Fish Redd,Unknown,2016,index,1,,,,,,,,
2017-04-04,Padden Cr (01.0622),7.5,Medium,Good,Cloudy,,,,,,,,,,,,,
2017-04-11,Padden Cr (01.0622),7.5,Low,Very Good,Sunny,Live Fish,Steelhead,2016,index,,1,,,,,,,
2017-04-18,Padden Cr (01.0622),9,Low,Good,Cloudy,Live Fish,Steelhead,2016,index,,1,,,,,,,
2017-09-05,Padden Cr (01.0622),18,Low,Fair,Cloudy,,,,,,,,,,,,,
2017-09-12,Padden Cr (01.0622),14,Low,Good,Cloudy,,,,,,,,,,,,,
2017-09-19,Padden Cr (01.0622),12,Low,Fair,Cloudy,,,,,,,,,,,,,
2017-09-28,Padden Cr (01.0622),12,Low,Fair,Sunny,,,,,,,,,,,,,
2017-10-05,Padden Cr (01.0622),9,Low,Very Good,Sunny,,,,,,,,,,,,,
2017-10-10,Padden Cr (01.0622),9,Low,Good,Cloudy,,,,,,,,,,,,,
2017-10-16,Padden Cr (01.0622),10,Low,Very Good,Cloudy,Carcass,Cutthroat trout,2017,index,,1,,,,,,,
2017-10-24,Padden Cr (01.0622),9,Medium Low,Very Good,Sunny,Live Fish,Coho,2017,index,,1,,,,,,,
2017-10-24,Padden Cr (01.0622),9,Medium Low,Good,Cloudy,Live Fish,Coho,2017,index,,1,,,,,,,
2017-10-31,Padden Cr (01.0622),7,Low,Very Good,Cloudy,,,,,,,,,,,,,
2017-11-09,Padden Cr (01.0622),7.5,Medium Low,Very Good,Cloudy,,,,,,,,,,,,,
2017-11-14,Padden Cr (01.0622),8,Medium Low,Fair,Cloudy,,,,,,,,,,,,,
2017-11-21,Padden Cr (01.0622),7,Medium High,Fair,raining,,,,,,,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Chum,2017,index,,2,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Fish Redd,Chum,2017,index,1,,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Chum,2017,index,,1,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Chum,2017,index,,7,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Chum,2017,index,,5,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Chum,2017,index,,6,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Fish Redd,Chum,2017,index,2,,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Carcass,Coho,2017,index,,1,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Unknown,2017,index,,1,,,,,,,
2017-11-29,Padden Cr (01.0622),7,Medium,Good,Cloudy,Live Fish,Chum,2017,index,,3,,,,,,,
