"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1]",0.0422490233718433,3.85150563881901e-05,0.000699811362290678,0.0409074654529729,0.0417900064088527,0.0422553014285909,0.0427128869648445,0.0436134816150421,330.14209505075,1.00516320882656
"alpha[2]",0.0306631603421769,3.68205820439419e-05,0.000697356413932128,0.0293207863030596,0.0301884394310384,0.030663812387224,0.031103561786711,0.0320548270991253,358.697459389004,1.00512743819319
"alpha[3]",0,NA,0,0,0,0,0,0,NA,NA
"beta[1,1]",-0.261564900476997,0.00178339085970083,0.0317581039975957,-0.324085269656196,-0.28319419497338,-0.261410749459258,-0.24037177889671,-0.199780272622996,317.114470567401,1.00790979522009
"beta[1,2]",-0.954320707731209,0.000498968560820532,0.0121206183549159,-0.97773447536551,-0.962526438957407,-0.954232056255702,-0.946192884304561,-0.930113194335665,590.069529526064,1.00483885674551
"beta[1,3]",-1.40797093614722,0.000491432506727403,0.0112765102657843,-1.43056416488014,-1.41552424414074,-1.40809170195759,-1.40056484971582,-1.38515808328551,526.528251318878,1.00606783276809
"beta[1,4]",-1.40992275720112,0.000531359840714896,0.0123191687621519,-1.43375954874999,-1.41828935949173,-1.40981802224732,-1.40150976266299,-1.38669540351413,537.508520889631,1.00545404643017
"beta[1,5]",-1.24613767283256,0.00052546050071203,0.0126231813663147,-1.27079312321183,-1.2546834249423,-1.24583430739157,-1.2375970135525,-1.22131521587342,577.108530036339,1.00450135119793
"beta[1,6]",-1.23491498259355,0.00050099390750683,0.0120293931890296,-1.25776334430198,-1.24317171935973,-1.23471914023195,-1.22683515671382,-1.21131507691879,576.530850515181,1.0053228073106
"beta[1,7]",-1.99793380667536,0.000507874868358173,0.0118689852726529,-2.02100314297485,-2.00607449365614,-1.99813464357362,-1.99002364154867,-1.97484154632679,546.152261589704,1.00641808375257
"beta[1,8]",-2.75720381206538,0.000495240825405392,0.011630102571654,-2.77986813479486,-2.76493617035882,-2.75716044167914,-2.7495596522832,-2.73415338273393,551.485645163651,1.00747598674272
"beta[1,9]",-2.06053542416809,0.000520421403026147,0.0121077347726181,-2.08457050954695,-2.06832911588995,-2.06050909175483,-2.0525390981655,-2.03729137176545,541.271922461479,1.00771661237332
"beta[1,10]",-2.4526791353156,0.000517278733803999,0.0111490849614077,-2.4748132438236,-2.46020612261051,-2.45272872197373,-2.44509987442931,-2.43105644558984,464.546509902441,1.00824518141395
"beta[1,11]",-11.9663661712645,0.0537438081842478,1.9262557722288,-16.9204996566195,-12.8981211811562,-11.576604157253,-10.588379375507,-9.26465642303215,1284.60921583708,1.00138103717072
"beta[1,12]",-10.9387931739086,0.0487590806392203,1.93198825241944,-15.5489422029625,-12.0242166255243,-10.5923732656208,-9.52809524671286,-8.17735435913302,1569.99383127566,1.00042510357093
"beta[1,13]",0.354480616533888,0.000533789528353549,0.0215828235000972,0.311916704120795,0.340264525749361,0.354479062926905,0.368776979508683,0.396454788309221,1634.84438067025,1.00225052136555
"beta[1,14]",-1.30903352782316,0.000656443661187391,0.0319547465726826,-1.3704655515881,-1.33088395131314,-1.30993119584689,-1.28822878470367,-1.24270694720046,2369.60434303792,1.00057443781722
