"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1]",0.0423273828541125,1.60845757850392e-05,0.000678179087026503,0.0410098949577597,0.0418685391678835,0.0423330414367596,0.0427878999953064,0.0436499970010722,1777.74540210567,1.00149555802407
"alpha[2]",0.0306686322052246,1.73524620458649e-05,0.000715066675699718,0.0292396911074869,0.030202400700309,0.0306619185450846,0.0311471582891096,0.0320850570320634,1698.12975474531,0.999745648005416
"alpha[3]",0,NA,0,0,0,0,0,0,NA,NA
"beta[1,1]",11.3416026259669,0.0197577134281522,0.72179431562,9.99173355789896,10.8553030662623,11.3079949626479,11.7997273892974,12.7915855613908,1334.60746906634,1.00325496338348
"beta[1,2]",2.42003555004427,0.0497482394251332,2.5761250965742,-1.76207361583602,0.524481298982929,2.05474984096436,4.08203735981125,8.1108970898455,2681.50410071096,1.00011851133571
"beta[1,3]",1.65290583901149,0.0498024392021458,2.56365770932541,-2.5014541814213,-0.203166849994983,1.35281084019953,3.24745728800782,7.38368039935127,2649.83511228128,1.0000992309459
"beta[1,4]",1.71759001139254,0.0560337381104041,2.55799104804443,-2.49650026479252,-0.14789305712132,1.48984095154063,3.30325159956566,7.38736619747709,2084.00544142241,1.00084440659691
"beta[1,5]",-13.0768806621855,0.0196942743532334,0.72161882775989,-14.5159668478527,-13.5436992178751,-13.0414485990518,-12.5870726260631,-11.7266992055154,1342.56630870591,1.00315929283428
"beta[1,6]",1.9270765504568,0.0461172711131911,2.86918573153029,-2.87914937940026,-0.201361588984411,1.66217659304826,3.82917234698387,8.07852281719796,3870.70544044866,0.999475124406596
"beta[1,7]",6.55488853966891,0.070737282579321,3.61321927357781,-0.0684139436829777,4.02013650422054,6.46694736793366,8.90181770092918,14.0019595748645,2609.10701329792,1.00064973857297
"beta[1,8]",1.62700793341062,0.0453976339649522,2.47194714782953,-2.33473215574805,-0.172120325995655,1.3365997475964,3.16697534216074,7.04046275580114,2964.91279426019,0.999690584452228
"beta[1,9]",6.38387447722062,0.0720013247891335,3.74423248133353,-0.528000521768293,3.71772737984935,6.23433313506429,8.8691803954723,13.7906119190237,2704.23630080137,1.00019135868828
"beta[1,10]",1.23141055991065,0.0636298111397282,2.7774732039391,-3.30317540001575,-0.804391731740167,0.889267720131098,3.03532217684407,7.18085116976166,1905.36633243208,1.00256244432893
"beta[1,11]",5.8191924627067,0.0692553919410305,3.77327519658684,-1.18612038978068,3.16654176757622,5.75606626520907,8.29305060066918,13.5421445580539,2968.45027714692,0.999615354527299
"beta[1,12]",-0.330989721478706,0.0463559757773791,2.89399851419036,-5.07934624130021,-2.52485671802282,-0.590017793634452,1.55091794132401,5.78991571887056,3897.49128814387,1.00101522096293
"beta[1,13]",-9.89210682079639,0.0197654745833346,0.725709886099568,-11.3583924646905,-10.3593218129953,-9.85319144067327,-9.40146789735014,-8.53962458499235,1348.0673357419,1.00317434552492
"beta[1,14]",6.71661862962053,0.0615230463728843,3.54123868137648,0.426861358070445,4.15230328542098,6.57723657769126,9.06182644316139,14.0783928812195,3313.10145476203,0.999342449145566
"beta[1,15]",6.09511048465349,0.0687092107110154,3.85029864133169,-1.05086896906309,3.40037113982072,6.00066766982477,8.54602852767399,14.0485511698294,3140.2115946031,1.00071733384382
