"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1]",0.000986422635163574,3.0746019301001e-05,0.000773845891878423,-0.000500032409308783,0.000503313525415728,0.000978035827090373,0.00146595736857903,0.00252385922048249,633.477467487316,1.00204640205864
"alpha[2]",-0.010726828100055,3.12306383407675e-05,0.000751433560308511,-0.0122131217396189,-0.011230866544994,-0.0107422361851026,-0.0102164050786493,-0.00927326240106702,578.921198818694,1.00227200199354
"alpha[3]",-0.0413148359780738,2.46165035982885e-05,0.000767897011444525,-0.0428034664005711,-0.0418482708885915,-0.041321605809289,-0.0407965434447143,-0.0398097033136838,973.090468688717,1.00499535539864
"alpha[4]",0,NA,0,0,0,0,0,0,NA,NA
"beta[1,1]",14.9955877920481,0.0290711922458837,0.850426454106992,13.367507306396,14.406410212602,14.997578189563,15.5630123873214,16.6910174343979,855.751829627132,1.00226998510937
"beta[1,2]",-0.83598209552688,0.0453293384384263,2.15166732210047,-4.40415873055622,-2.40702954959078,-1.05742367304513,0.524885709753181,3.93120846301964,2253.15716804833,1.00043692769078
"beta[1,3]",3.4081009055266,0.0751204120006365,3.79058098247662,-3.40144691665889,0.617430391595628,3.34502008756093,5.89338018686533,11.2686105981717,2546.21830771445,0.999494072380609
"beta[1,4]",3.95831944406945,0.0645628365358223,3.61275649139437,-2.259268506561,1.28338642857053,3.73473237874973,6.37852100635468,11.7919871376298,3131.20985222583,1.00018723651735
"beta[1,5]",-1.2741609592265,0.0481633849800393,2.13253568111225,-4.75232424204257,-2.76966678964051,-1.55716402511978,-0.0620032932399269,3.63140253169622,1960.46281263195,0.999881575439896
"beta[1,6]",3.85288254820287,0.0694896819141876,3.88337415732747,-2.96145050434727,0.999361690483103,3.65961881668593,6.42759937700969,11.9237392016952,3123.04200065123,1.00058089772567
"beta[1,7]",3.53210623154417,0.066303537296704,3.86431008409867,-3.30780739996338,0.716029292633415,3.25557050564803,6.20202973115934,11.5008396222638,3396.8043987635,0.999289332568472
"beta[1,8]",2.65397153313677,0.0744211104340398,3.9786457267447,-4.36156573379399,-0.184911411706142,2.47198683721177,5.3426852167038,10.5007625813176,2858.10544775115,1.00084889690697
"beta[1,9]",3.97603542160878,0.0748637957284707,3.74993040495557,-2.3289761309363,1.25962926776054,3.69118408218982,6.36117963773069,11.9765356449251,2509.01194978613,0.999527609903485
"beta[1,10]",-3.81436075155164,0.0472998470040709,2.37122291512814,-7.77373897074726,-5.52135695248442,-4.0787125518489,-2.3332127407371,1.47777493003431,2513.18983574288,1.00095300180975
"beta[1,11]",-3.06568958376278,0.0502198363418753,2.4497678842162,-7.1273954310502,-4.87944090728495,-3.2744957729346,-1.53440581939944,2.32133612897401,2379.57439734061,0.999814216209528
"beta[1,12]",3.52814246099609,0.0860227786841274,3.70701724579768,-2.95695352040284,0.864477953579086,3.37024142111414,5.85611285597992,11.1365430879102,1857.04436458048,1.00019870332057
"beta[1,13]",-1.42121773008729,0.0486217603732541,2.26930797786954,-5.14643949696084,-3.08887181616065,-1.63666709630499,-0.0118497179935581,3.58931809938094,2178.3392790319,1.00060213533484
"beta[1,14]",-0.245399308465573,0.0574862691097888,2.26174497942237,-3.91418237923202,-1.84330639844725,-0.513425620973261,1.12589123787881,4.76705701400306,1547.9574641977,0.9999486490109
