"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1]",0.000914384789646837,5.59057279403387e-05,0.00078537155466699,-0.000597845571697274,0.000402937014495164,0.000921470065095774,0.0014226879229421,0.00249759814362128,197.350268497634,1.0032110622156
"alpha[2]",-0.010731035441881,4.24940453604133e-05,0.000765018368899629,-0.0122604159761557,-0.0112368344114962,-0.0107334657124916,-0.0102361042615764,-0.00920640762950082,324.10637391089,1.00205815283964
"alpha[3]",-0.0414135007263388,5.06756848622009e-05,0.000864564412917088,-0.0431133542931303,-0.0419948194557982,-0.0414236506359019,-0.0408303066593233,-0.0397200473309617,291.068666983588,1.01908822375433
"alpha[4]",0,NA,0,0,0,0,0,0,NA,NA
"beta[1,1]",-2.67870654407277,0.00644841858342034,0.143787057523352,-2.95891973496682,-2.77352077517719,-2.68113594774752,-2.58048788385574,-2.39072346592453,497.202325133979,1.00317632308351
"beta[1,2]",2.62664700323522,0.00558104364860641,0.163202119123232,2.29949421031571,2.51964149865243,2.62565762354017,2.73381505006716,2.95067623281144,855.107565929995,1.00308924561785
"beta[1,3]",11.5330610310152,0.0929581602025624,1.47451984902081,9.31269306058561,10.4607450547944,11.3071367134677,12.3156199891973,15.192101764807,251.609020349202,1.01627042255109
"beta[1,4]",11.0643219133417,0.0491663703462197,1.34580345499566,8.93641131857926,10.0838366893055,10.8705082101641,11.8175430203414,14.2190030440203,749.250396590869,1.00394343237403
"beta[1,5]",2.74322920296827,0.00571034625118536,0.195503519902708,2.36495445652451,2.60895656551432,2.7416347268975,2.87130410124492,3.12425944842311,1172.15292678383,1.00183395709758
"beta[1,6]",-5.94700921447153,0.0724298719506069,2.77196600218049,-12.394748285767,-7.58679291622852,-5.39739190787318,-3.91109043701396,-2.02090578752418,1464.67194847071,1.00010833030872
"beta[1,7]",2.57981477832562,0.00551218811326826,0.18745530770147,2.20862150735666,2.45669514644461,2.57782290611709,2.70151496219854,2.96076149912227,1156.50475590042,1.00076728716295
"beta[1,8]",9.03997226531979,0.0588143418546804,1.66057626479615,6.44791463299542,7.83553851190687,8.79775811386417,10.0540111347013,12.9856241081651,797.170408724839,1.0004712174764
"beta[1,9]",4.05467433292272,0.00552055576302251,0.171204173405466,3.73326719521573,3.93675863510934,4.0541252599615,4.16865301874036,4.39265733191199,961.751987044445,1.00189498117373
"beta[1,10]",10.5518397597908,0.0164508290553578,1.00510863539769,8.93494516071815,9.81546470013589,10.4262184375307,11.1286526274915,12.9203951128363,3732.93501406553,0.999703787387482
"beta[1,11]",3.46815180225524,0.00553991258191794,0.145765676755382,3.17835489067701,3.37160244372272,3.46749893046983,3.56805950972027,3.753048401586,692.316565027302,1.00169687284169
"beta[1,12]",1.4696258688745,0.00512410170687929,0.142766001184618,1.19072145110164,1.37410795726321,1.46916084639248,1.56198910208923,1.75566529922244,776.272333090827,1.00214688481729
"beta[1,13]",2.28948162737225,0.0053815256849248,0.141600205606241,2.00888507659971,2.19723080717626,2.28898242254396,2.38427233047258,2.56896952999974,692.336029487205,1.00276690685198
"beta[1,14]",11.5602170645237,0.0286735152678753,1.28721423643832,9.55417228506694,10.6455027276726,11.3308178914552,12.292830715195,14.5674580969005,2015.300397174,0.999927121985907
"beta[1,15]",9.48003096990373,0.0256156172979148,1.05176788882671,7.76480123772283,8.73973316427413,9.37405036048171,10.0658257837379,11.9477521649638,1685.89360156705,1.00092818769249
"beta[1,16]",11.2350146463361,0.034953775188575,1.36280161808843,9.07101793699531,10.2628008762462,11.0377209606511,12.0141238331533,14.4878036420796,1520.11730750297,1.00066229101659
"beta[1,17]",11.4816834629844,0.0664041336935655,1.41435218044408,9.33808306820545,10.4768971354158,11.2511578769086,12.2249137209271,14.8054230033213,453.654160409677,1.01248146630389
"beta[1,18]",0.597680583352413,0.00546004250271645,0.165269283575963,0.273426976957163,0.488893109923467,0.601607316305346,0.707524905716611,0.923106992374362,916.204123715106,1.00230666959938
