"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1]",0.0423000316846403,2.46254686920131e-05,0.000677404134311773,0.0409904606799759,0.0418318651123289,0.0422859238793957,0.0427501979238136,0.0436669345679548,756.70512539712,1.00242778982214
"alpha[2]",0.0306764238700746,2.74625412864871e-05,0.000715922320401821,0.0292722733750607,0.0302072934612732,0.0306654523786581,0.0311449342189415,0.0320615730054468,679.595289071,1.00567560142796
"alpha[3]",0,NA,0,0,0,0,0,0,NA,NA
"beta[1,1]",6.03527755418964,0.0195655612928132,0.181517265154776,5.71034232643361,5.91081278128868,6.02502636274378,6.14635079795158,6.44039812558507,86.0698916897298,1.00694131815828
"beta[1,2]",7.87765409747412,0.0602890616609293,2.86671648930541,3.47887139747086,5.75305597038146,7.48108319256061,9.56774557678272,14.7749370593516,2260.95771360525,1.00074842650899
"beta[1,3]",7.50144042239562,0.0564042622850618,2.92170104266625,3.03162608975814,5.2846033928014,7.0529697909223,9.34823531399869,14.1521116974382,2683.16700162818,0.999418835783268
"beta[1,4]",6.00242028412211,0.0702451629595654,3.24721998776123,0.929295751273236,3.60770880780674,5.60640478292264,8.01095075434322,13.4108968281827,2136.93136944298,1.00191977908742
"beta[1,5]",-4.30489011865879,0.0191217128663745,0.180165195333862,-4.71116606024331,-4.41203967868663,-4.29722754273732,-4.17965390261709,-3.98554183946514,88.7744946553423,1.0071850179663
"beta[1,6]",6.51942964693387,0.0646097494250114,3.03701157193724,1.71898711421203,4.26220742504325,6.13647209155201,8.35171937011404,13.4949411881319,2209.51411335211,1.00198085459795
"beta[1,7]",4.94670882920069,0.0367368281130236,1.70746668822799,2.395322254473,3.68173428171212,4.68810082526798,5.91307153906484,9.09290489356252,2160.23583781517,1.00141237614347
"beta[1,8]",-7.98604591980985,0.0191809909665168,0.180299638618182,-8.39435170449115,-8.09297563806013,-7.97915378245989,-7.85856756146862,-7.66575775455356,88.3583568401358,1.00715911951132
"beta[1,9]",-5.53839400466478,0.0191215264211983,0.180390642101222,-5.95032619542898,-5.64552637796128,-5.53071671187276,-5.41266783831802,-5.2149224129138,88.9985422244268,1.00673552217525
