"Sample_name","species","totalReads"
"PadDn1_0322","Oncorhynchus kisutch",0
"PadDn1_0322","Oncorhynchus clarkii",0
"PadDn1_0322","Cottus asper",37718
"PadDn1_0322","Oncorhynchus mykiss",6114
"PadDn1_0322","Perca flavescens",1011
"PadDn1_0322","Lampetra ayresii",0
"PadDn1_0322","Pimephales promelas",0
"PadDn1_0322","Osphranter rufus",0
"PadDn1_0322","Bos taurus",0
"PadDn1_0322","Ameiurus nebulosus",0
"PadDn1_0322","Turdus migratorius",0
"PadDn1_0322","Corvus corax",0
"PadDn1_0322","Dicamptodon tenebrosus",0
"PadDn1_0322","Lepomis gibbosus",2394
"PadDn1_0322","Oncorhynchus nerka",0
"PadDn1_0322","Micropterus salmoides",0
"PadDn1_0322","Rana catesbeiana",0
"PadDn1_0322","Gasterosteus aculeatus",0
"PadDn1_0322","Alburnus alburnus",0
"PadDn1_0322","Regulus calendula",0
"PadDn1_0322","Castor canadensis",0
"PadDn1_0322","Homo sapiens",30
"PadDn1_0322","Didelphis virginiana",0
"PadDn1_0322","Melospiza melodia",0
"PadDn1_0322","Cottus marginatus",457
"PadDn1_0322","Scapanus orarius",0
"PadDn1_0322","Sus scrofa",0
"PadDn1_0322","Tachycineta bicolor",0
"PadDn1_0322","Lithobates catesbeianus",0
"PadDn1_0322","Canis lupus",0
"PadDn1_0322","Procyon lotor",0
"PadDn1_0322","Ondatra zibethicus",0
"PadDn1_0322","Anaxyrus boreas",0
"PadDn1_0322","Phalacrocorax auritus",0
"PadDn1_0322","Aix sponsa",0
"PadDn1_0322","Lynx rufus",0
"PadDn1_0322","Rattus rattus",0
"PadDn1_0322","Poecile atricapillus",0
"PadDn3_0322","Oncorhynchus kisutch",0
"PadDn3_0322","Oncorhynchus clarkii",738
"PadDn3_0322","Cottus asper",10521
"PadDn3_0322","Oncorhynchus mykiss",0
"PadDn3_0322","Perca flavescens",0
"PadDn3_0322","Lampetra ayresii",0
"PadDn3_0322","Pimephales promelas",0
"PadDn3_0322","Osphranter rufus",0
"PadDn3_0322","Bos taurus",0
"PadDn3_0322","Ameiurus nebulosus",0
"PadDn3_0322","Turdus migratorius",0
"PadDn3_0322","Corvus corax",0
"PadDn3_0322","Dicamptodon tenebrosus",0
"PadDn3_0322","Lepomis gibbosus",0
"PadDn3_0322","Oncorhynchus nerka",0
"PadDn3_0322","Micropterus salmoides",0
"PadDn3_0322","Rana catesbeiana",0
"PadDn3_0322","Gasterosteus aculeatus",0
"PadDn3_0322","Alburnus alburnus",0
"PadDn3_0322","Regulus calendula",0
"PadDn3_0322","Castor canadensis",0
"PadDn3_0322","Homo sapiens",28
"PadDn3_0322","Didelphis virginiana",0
"PadDn3_0322","Melospiza melodia",0
"PadDn3_0322","Cottus marginatus",0
"PadDn3_0322","Scapanus orarius",0
"PadDn3_0322","Sus scrofa",0
"PadDn3_0322","Tachycineta bicolor",0
"PadDn3_0322","Lithobates catesbeianus",0
"PadDn3_0322","Canis lupus",0
"PadDn3_0322","Procyon lotor",0
"PadDn3_0322","Ondatra zibethicus",0
"PadDn3_0322","Anaxyrus boreas",0
"PadDn3_0322","Phalacrocorax auritus",0
"PadDn3_0322","Aix sponsa",0
"PadDn3_0322","Lynx rufus",0
"PadDn3_0322","Rattus rattus",0
"PadDn3_0322","Poecile atricapillus",0
"PadUp11_1_0322","Oncorhynchus kisutch",0
"PadUp11_1_0322","Oncorhynchus clarkii",1597
"PadUp11_1_0322","Cottus asper",46829
"PadUp11_1_0322","Oncorhynchus mykiss",4256
"PadUp11_1_0322","Perca flavescens",680
"PadUp11_1_0322","Lampetra ayresii",0
"PadUp11_1_0322","Pimephales promelas",0
"PadUp11_1_0322","Osphranter rufus",0
"PadUp11_1_0322","Bos taurus",0
"PadUp11_1_0322","Ameiurus nebulosus",0
"PadUp11_1_0322","Turdus migratorius",0
"PadUp11_1_0322","Corvus corax",0
"PadUp11_1_0322","Dicamptodon tenebrosus",0
"PadUp11_1_0322","Lepomis gibbosus",674
"PadUp11_1_0322","Oncorhynchus nerka",0
"PadUp11_1_0322","Micropterus salmoides",0
"PadUp11_1_0322","Rana catesbeiana",0
"PadUp11_1_0322","Gasterosteus aculeatus",0
"PadUp11_1_0322","Alburnus alburnus",0
"PadUp11_1_0322","Regulus calendula",0
"PadUp11_1_0322","Castor canadensis",0
"PadUp11_1_0322","Homo sapiens",14
"PadUp11_1_0322","Didelphis virginiana",0
"PadUp11_1_0322","Melospiza melodia",0
"PadUp11_1_0322","Cottus marginatus",0
"PadUp11_1_0322","Scapanus orarius",0
"PadUp11_1_0322","Sus scrofa",0
"PadUp11_1_0322","Tachycineta bicolor",242
"PadUp11_1_0322","Lithobates catesbeianus",0
"PadUp11_1_0322","Canis lupus",0
"PadUp11_1_0322","Procyon lotor",0
"PadUp11_1_0322","Ondatra zibethicus",0
"PadUp11_1_0322","Anaxyrus boreas",0
"PadUp11_1_0322","Phalacrocorax auritus",0
"PadUp11_1_0322","Aix sponsa",0
"PadUp11_1_0322","Lynx rufus",0
"PadUp11_1_0322","Rattus rattus",0
"PadUp11_1_0322","Poecile atricapillus",0
"PrtDn2_0322","Oncorhynchus kisutch",0
"PrtDn2_0322","Oncorhynchus clarkii",5044
"PrtDn2_0322","Cottus asper",0
"PrtDn2_0322","Oncorhynchus mykiss",0
"PrtDn2_0322","Perca flavescens",0
"PrtDn2_0322","Lampetra ayresii",0
"PrtDn2_0322","Pimephales promelas",0
"PrtDn2_0322","Osphranter rufus",0
"PrtDn2_0322","Bos taurus",0
"PrtDn2_0322","Ameiurus nebulosus",0
"PrtDn2_0322","Turdus migratorius",0
"PrtDn2_0322","Corvus corax",0
"PrtDn2_0322","Dicamptodon tenebrosus",2911
"PrtDn2_0322","Lepomis gibbosus",0
"PrtDn2_0322","Oncorhynchus nerka",0
"PrtDn2_0322","Micropterus salmoides",0
"PrtDn2_0322","Rana catesbeiana",0
"PrtDn2_0322","Gasterosteus aculeatus",0
"PrtDn2_0322","Alburnus alburnus",0
"PrtDn2_0322","Regulus calendula",0
"PrtDn2_0322","Castor canadensis",0
"PrtDn2_0322","Homo sapiens",0
"PrtDn2_0322","Didelphis virginiana",0
"PrtDn2_0322","Melospiza melodia",0
"PrtDn2_0322","Cottus marginatus",0
"PrtDn2_0322","Scapanus orarius",0
"PrtDn2_0322","Sus scrofa",0
"PrtDn2_0322","Tachycineta bicolor",0
"PrtDn2_0322","Lithobates catesbeianus",0
"PrtDn2_0322","Canis lupus",0
"PrtDn2_0322","Procyon lotor",0
"PrtDn2_0322","Ondatra zibethicus",0
"PrtDn2_0322","Anaxyrus boreas",0
"PrtDn2_0322","Phalacrocorax auritus",0
"PrtDn2_0322","Aix sponsa",0
"PrtDn2_0322","Lynx rufus",0
"PrtDn2_0322","Rattus rattus",0
"PrtDn2_0322","Poecile atricapillus",0
"PrtUp2_0322","Oncorhynchus kisutch",7913
"PrtUp2_0322","Oncorhynchus clarkii",15923
"PrtUp2_0322","Cottus asper",0
"PrtUp2_0322","Oncorhynchus mykiss",0
"PrtUp2_0322","Perca flavescens",0
"PrtUp2_0322","Lampetra ayresii",3116
"PrtUp2_0322","Pimephales promelas",0
"PrtUp2_0322","Osphranter rufus",0
"PrtUp2_0322","Bos taurus",0
"PrtUp2_0322","Ameiurus nebulosus",0
"PrtUp2_0322","Turdus migratorius",0
"PrtUp2_0322","Corvus corax",0
"PrtUp2_0322","Dicamptodon tenebrosus",0
"PrtUp2_0322","Lepomis gibbosus",0
"PrtUp2_0322","Oncorhynchus nerka",0
"PrtUp2_0322","Micropterus salmoides",0
"PrtUp2_0322","Rana catesbeiana",0
"PrtUp2_0322","Gasterosteus aculeatus",0
"PrtUp2_0322","Alburnus alburnus",0
"PrtUp2_0322","Regulus calendula",0
"PrtUp2_0322","Castor canadensis",0
"PrtUp2_0322","Homo sapiens",0
"PrtUp2_0322","Didelphis virginiana",0
"PrtUp2_0322","Melospiza melodia",0
"PrtUp2_0322","Cottus marginatus",0
"PrtUp2_0322","Scapanus orarius",0
"PrtUp2_0322","Sus scrofa",0
"PrtUp2_0322","Tachycineta bicolor",0
"PrtUp2_0322","Lithobates catesbeianus",0
"PrtUp2_0322","Canis lupus",0
"PrtUp2_0322","Procyon lotor",0
"PrtUp2_0322","Ondatra zibethicus",0
"PrtUp2_0322","Anaxyrus boreas",0
"PrtUp2_0322","Phalacrocorax auritus",0
"PrtUp2_0322","Aix sponsa",0
"PrtUp2_0322","Lynx rufus",0
"PrtUp2_0322","Rattus rattus",0
"PrtUp2_0322","Poecile atricapillus",0
"PrtUp3_0322","Oncorhynchus kisutch",2466
"PrtUp3_0322","Oncorhynchus clarkii",0
"PrtUp3_0322","Cottus asper",0
"PrtUp3_0322","Oncorhynchus mykiss",0
"PrtUp3_0322","Perca flavescens",0
"PrtUp3_0322","Lampetra ayresii",0
"PrtUp3_0322","Pimephales promelas",0
"PrtUp3_0322","Osphranter rufus",0
"PrtUp3_0322","Bos taurus",0
"PrtUp3_0322","Ameiurus nebulosus",0
"PrtUp3_0322","Turdus migratorius",0
"PrtUp3_0322","Corvus corax",0
"PrtUp3_0322","Dicamptodon tenebrosus",0
"PrtUp3_0322","Lepomis gibbosus",0
"PrtUp3_0322","Oncorhynchus nerka",0
"PrtUp3_0322","Micropterus salmoides",0
"PrtUp3_0322","Rana catesbeiana",0
"PrtUp3_0322","Gasterosteus aculeatus",0
"PrtUp3_0322","Alburnus alburnus",0
"PrtUp3_0322","Regulus calendula",0
"PrtUp3_0322","Castor canadensis",0
"PrtUp3_0322","Homo sapiens",0
"PrtUp3_0322","Didelphis virginiana",0
"PrtUp3_0322","Melospiza melodia",0
"PrtUp3_0322","Cottus marginatus",0
"PrtUp3_0322","Scapanus orarius",0
"PrtUp3_0322","Sus scrofa",0
"PrtUp3_0322","Tachycineta bicolor",0
"PrtUp3_0322","Lithobates catesbeianus",0
"PrtUp3_0322","Canis lupus",0
"PrtUp3_0322","Procyon lotor",0
"PrtUp3_0322","Ondatra zibethicus",0
"PrtUp3_0322","Anaxyrus boreas",0
"PrtUp3_0322","Phalacrocorax auritus",0
"PrtUp3_0322","Aix sponsa",0
"PrtUp3_0322","Lynx rufus",0
"PrtUp3_0322","Rattus rattus",0
"PrtUp3_0322","Poecile atricapillus",0
"SqmUp1_0322","Oncorhynchus kisutch",0
"SqmUp1_0322","Oncorhynchus clarkii",1627
"SqmUp1_0322","Cottus asper",0
"SqmUp1_0322","Oncorhynchus mykiss",0
"SqmUp1_0322","Perca flavescens",0
"SqmUp1_0322","Lampetra ayresii",0
"SqmUp1_0322","Pimephales promelas",3497
"SqmUp1_0322","Osphranter rufus",0
"SqmUp1_0322","Bos taurus",0
"SqmUp1_0322","Ameiurus nebulosus",506
"SqmUp1_0322","Turdus migratorius",0
"SqmUp1_0322","Corvus corax",0
"SqmUp1_0322","Dicamptodon tenebrosus",0
"SqmUp1_0322","Lepomis gibbosus",0
"SqmUp1_0322","Oncorhynchus nerka",0
"SqmUp1_0322","Micropterus salmoides",0
"SqmUp1_0322","Rana catesbeiana",29
"SqmUp1_0322","Gasterosteus aculeatus",0
"SqmUp1_0322","Alburnus alburnus",0
"SqmUp1_0322","Regulus calendula",0
"SqmUp1_0322","Castor canadensis",0
"SqmUp1_0322","Homo sapiens",0
"SqmUp1_0322","Didelphis virginiana",0
"SqmUp1_0322","Melospiza melodia",0
"SqmUp1_0322","Cottus marginatus",0
"SqmUp1_0322","Scapanus orarius",0
"SqmUp1_0322","Sus scrofa",0
"SqmUp1_0322","Tachycineta bicolor",0
"SqmUp1_0322","Lithobates catesbeianus",0
"SqmUp1_0322","Canis lupus",2
"SqmUp1_0322","Procyon lotor",0
"SqmUp1_0322","Ondatra zibethicus",0
"SqmUp1_0322","Anaxyrus boreas",0
"SqmUp1_0322","Phalacrocorax auritus",0
"SqmUp1_0322","Aix sponsa",0
"SqmUp1_0322","Lynx rufus",0
"SqmUp1_0322","Rattus rattus",0
"SqmUp1_0322","Poecile atricapillus",0
"PadDn2_0422","Oncorhynchus kisutch",6131
"PadDn2_0422","Oncorhynchus clarkii",1055
"PadDn2_0422","Cottus asper",15437
"PadDn2_0422","Oncorhynchus mykiss",1221
"PadDn2_0422","Perca flavescens",46840
"PadDn2_0422","Lampetra ayresii",0
"PadDn2_0422","Pimephales promelas",0
"PadDn2_0422","Osphranter rufus",0
"PadDn2_0422","Bos taurus",0
"PadDn2_0422","Ameiurus nebulosus",0
"PadDn2_0422","Turdus migratorius",0
"PadDn2_0422","Corvus corax",0
"PadDn2_0422","Dicamptodon tenebrosus",0
"PadDn2_0422","Lepomis gibbosus",419
"PadDn2_0422","Oncorhynchus nerka",0
"PadDn2_0422","Micropterus salmoides",0
"PadDn2_0422","Rana catesbeiana",0
