Sample,Adj_Vol,DateStamp
0122.1Prt.Dn.1,2.026666667,2022-01-13 17:20:19 UTC
0122.1Prt.Dn.2,2.026666667,2022-01-13 17:20:19 UTC
0122.1Prt.Dn.3,2.026666667,2022-01-13 17:20:19 UTC
0122.1Prt.Up.1,1.976666667,2022-01-13 17:40:26 UTC
0122.1Prt.Up.2,1.976666667,2022-01-13 17:40:26 UTC
0122.1Prt.Up.3,1.976666667,2022-01-13 17:40:26 UTC
0122.2Brn.Dn.1,2.023333333,2022-01-13 18:35:28 UTC
0122.2Brn.Dn.2,2.023333333,2022-01-13 18:35:28 UTC
0122.2Brn.Dn.3,2.023333333,2022-01-13 18:35:28 UTC
0122.2Brn.Up.1,2.01,2022-01-13 18:55:42 UTC
0122.2Brn.Up.2,2.01,2022-01-13 18:55:42 UTC
0122.2Brn.Up.3,2.01,2022-01-13 18:55:42 UTC
0122.3Chk.Dn.1,2,2022-01-13 19:25:56 UTC
0122.3Chk.Dn.2,2,2022-01-13 19:25:56 UTC
0122.3Chk.Dn.3,2,2022-01-13 19:25:56 UTC
0122.3Chk.Up.1,1.996666667,2022-01-13 19:57:04 UTC
0122.3Chk.Up.2,1.996666667,2022-01-13 19:57:04 UTC
0122.3Chk.Up.3,1.996666667,2022-01-13 19:57:04 UTC
0122.4Pad.Dn.1,2.04,2022-01-13 21:02:38 UTC
0122.4Pad.Dn.2,2.04,2022-01-13 21:02:38 UTC
0122.4Pad.Dn.3,2.04,2022-01-13 21:02:38 UTC
0122.4Pad.Up11.1,2.013333333,2022-01-13 21:15:48 UTC
0122.4Pad.Up11.2,2.013333333,2022-01-13 21:15:48 UTC
0122.4Pad.Up11.3,2.013333333,2022-01-13 21:15:48 UTC
0122.4Pad.Up5.1,2.033333333,2022-01-13 21:44:26 UTC
0122.4Pad.Up5.2,2.033333333,2022-01-13 21:44:26 UTC
0122.4Pad.Up5.3,2.033333333,2022-01-13 21:44:26 UTC
0122.5Sqm.Dn.1,1.016666667,2022-01-13 22:20:40 UTC
0122.5Sqm.Dn.2,1.016666667,2022-01-13 22:20:40 UTC
0122.5Sqm.Dn.3,1.016666667,2022-01-13 22:20:40 UTC
0122.5Sqm.Up.1,1.603333333,2022-01-13 22:38:36 UTC
0122.5Sqm.Up.2,1.603333333,2022-01-13 22:38:36 UTC
0122.5Sqm.Up.3,1.603333333,2022-01-13 22:38:36 UTC
0222.1Prt.Dn.1,1.923333333,2022-02-10 17:14:52 UTC
0222.1Prt.Dn.2,1.923333333,2022-02-10 17:14:52 UTC
0222.1Prt.Dn.3,1.923333333,2022-02-10 17:14:52 UTC
0222.1Prt.Up.1,2,2022-02-10 17:32:07 UTC
0222.1Prt.Up.2,2,2022-02-10 17:32:07 UTC
0222.1Prt.Up.3,2,2022-02-10 17:32:07 UTC
0222.2Brn.Dn.1,2.01,2022-02-10 18:36:23 UTC
0222.2Brn.Dn.2,2.01,2022-02-10 18:36:23 UTC
0222.2Brn.Dn.3,2.01,2022-02-10 18:36:23 UTC
0222.2Brn.Up.1,2.05,2022-02-10 18:58:17 UTC
0222.2Brn.Up.2,2.05,2022-02-10 18:58:17 UTC
0222.2Brn.Up.3,2.05,2022-02-10 18:58:17 UTC
0222.3Chk.Dn.1,1.983333333,2022-02-10 19:27:24 UTC
0222.3Chk.Dn.2,1.983333333,2022-02-10 19:27:24 UTC
0222.3Chk.Dn.3,1.983333333,2022-02-10 19:27:24 UTC
0222.3Chk.Up.1,2.01,2022-02-10 19:53:49 UTC
0222.3Chk.Up.2,2.01,2022-02-10 19:53:49 UTC
0222.3Chk.Up.3,2.01,2022-02-10 19:53:49 UTC
0222.4Pad.Dn.1,2.006666667,2022-02-10 20:55:20 UTC
0222.4Pad.Dn.2,2.006666667,2022-02-10 20:55:20 UTC
0222.4Pad.Dn.3,2.006666667,2022-02-10 20:55:20 UTC
0222.4Pad.Up11.1,2.006666667,2022-02-10 21:09:46 UTC
0222.4Pad.Up11.2,2.006666667,2022-02-10 21:09:46 UTC
0222.4Pad.Up11.3,2.006666667,2022-02-10 21:09:46 UTC
0222.4Pad.Up5.1,1.996666667,2022-02-10 21:35:12 UTC
0222.4Pad.Up5.2,1.996666667,2022-02-10 21:35:12 UTC
0222.4Pad.Up5.3,1.996666667,2022-02-10 21:35:12 UTC
0222.5Sqm.Dn.1,2.016666667,2022-02-10 22:15:20 UTC
0222.5Sqm.Dn.2,2.016666667,2022-02-10 22:15:20 UTC
0222.5Sqm.Dn.3,2.016666667,2022-02-10 22:15:20 UTC
0222.5Sqm.Up.1,2,2022-02-10 22:29:14 UTC
0222.5Sqm.Up.2,2,2022-02-10 22:29:14 UTC
0222.5Sqm.Up.3,2,2022-02-10 22:29:14 UTC
0321.1Prt.Dn.1,2.01,2021-03-10 16:30:00 UTC
0321.1Prt.Dn.2,2.01,2021-03-10 16:30:00 UTC
0321.1Prt.Dn.3,2,2021-03-10 16:30:00 UTC
0321.1Prt.Up.1,2,2021-03-10 17:15:00 UTC
0321.1Prt.Up.2,1.99,2021-03-10 17:15:00 UTC
0321.1Prt.Up.3,1.99,2021-03-10 17:15:00 UTC
0321.2Brn.Dn.1,1.99,2021-03-11 00:50:00 UTC
0321.2Brn.Dn.2,1.94,2021-03-11 00:50:00 UTC
0321.2Brn.Dn.3,2,2021-03-11 00:50:00 UTC
0321.2Brn.Up.1,2.01,2021-03-11 01:20:00 UTC
0321.2Brn.Up.2,1.99,2021-03-11 01:20:00 UTC
0321.2Brn.Up.3,2,2021-03-11 01:20:00 UTC
0321.3Chk.Dn.1,2.03,2021-03-10 23:30:00 UTC
0321.3Chk.Dn.2,2,2021-03-10 23:30:00 UTC
0321.3Chk.Dn.3,2.01,2021-03-10 23:30:00 UTC
0321.3Chk.Up.1,2.01,2021-03-11 00:15:00 UTC
0321.3Chk.Up.2,2.02,2021-03-11 00:15:00 UTC
0321.3Chk.Up.3,2.02,2021-03-11 00:15:00 UTC
0321.4Pad.Dn.1,1.96,2021-03-10 21:40:00 UTC
0321.4Pad.Dn.2,1.98,2021-03-10 21:40:00 UTC
0321.4Pad.Dn.3,1.98,2021-03-10 21:40:00 UTC
0321.4Pad.Up11.1,2.01,2021-03-10 22:00:00 UTC
0321.4Pad.Up11.2,2,2021-03-10 22:00:00 UTC
0321.4Pad.Up11.3,1.99,2021-03-10 22:00:00 UTC
0321.4Pad.Up5.1,2.01,2021-03-10 22:50:00 UTC
0321.4Pad.Up5.2,2.01,2021-03-10 22:50:00 UTC
0321.4Pad.Up5.3,2.02,2021-03-10 22:50:00 UTC
0321.5Sqm.Dn.1,1.99,2021-03-10 19:45:00 UTC
0321.5Sqm.Dn.2,2.01,2021-03-10 19:45:00 UTC
0321.5Sqm.Dn.3,1.99,2021-03-10 19:45:00 UTC
0321.5Sqm.Up.1,1.98,2021-03-10 20:15:00 UTC
0321.5Sqm.Up.2,1.96,2021-03-10 20:15:00 UTC
0321.5Sqm.Up.3,1.99,2021-03-10 20:15:00 UTC
0421.1Prt.Dn.1,1.97,2021-04-08 16:38:54 UTC
0421.1Prt.Dn.2,1.97,2021-04-08 16:38:54 UTC
0421.1Prt.Dn.3,1.97,2021-04-08 16:38:54 UTC
0421.1Prt.Up.1,2.02,2021-04-08 17:03:19 UTC
0421.1Prt.Up.2,2.02,2021-04-08 17:03:19 UTC
0421.1Prt.Up.3,2.02,2021-04-08 17:03:19 UTC
0421.2Brn.Dn.1,2.076666667,2021-04-08 18:15:50 UTC
0421.2Brn.Dn.2,2.076666667,2021-04-08 18:15:50 UTC
0421.2Brn.Dn.3,2.076666667,2021-04-08 18:15:50 UTC
0421.2Brn.Up.1,2.026666667,2021-04-08 18:38:21 UTC
0421.2Brn.Up.2,2.026666667,2021-04-08 18:38:21 UTC
0421.2Brn.Up.3,2.026666667,2021-04-08 18:38:21 UTC
0421.3Chk.Dn.1,2.026666667,2021-04-08 19:14:57 UTC
0421.3Chk.Dn.2,2.026666667,2021-04-08 19:14:57 UTC
0421.3Chk.Dn.3,2.026666667,2021-04-08 19:14:57 UTC
0421.3Chk.Up.1,2.01,2021-04-08 19:33:54 UTC
0421.3Chk.Up.2,2.01,2021-04-08 19:33:54 UTC
0421.3Chk.Up.3,2.01,2021-04-08 19:33:54 UTC
0421.4Pad.Dn.1,2.04,2021-04-08 22:00:04 UTC
0421.4Pad.Dn.2,2.02,2021-04-08 22:03:38 UTC
0421.4Pad.Dn.3,2.03,2021-04-08 22:08:12 UTC
0421.4Pad.Up11.1,2.016666667,2021-04-08 22:22:41 UTC
0421.4Pad.Up11.2,2.016666667,2021-04-08 22:22:41 UTC
0421.4Pad.Up11.3,2.016666667,2021-04-08 22:22:41 UTC
0421.4Pad.Up5.1,2.01,2021-04-08 22:49:03 UTC
0421.4Pad.Up5.2,2.01,2021-04-08 22:49:03 UTC
0421.4Pad.Up5.3,2.01,2021-04-08 22:49:03 UTC
0421.5Sqm.Dn.1,2.016666667,2021-04-08 23:33:28 UTC
0421.5Sqm.Dn.2,2.016666667,2021-04-08 23:33:28 UTC
0421.5Sqm.Dn.3,2.016666667,2021-04-08 23:33:28 UTC
0421.5Sqm.Up.1,2.016666667,2021-04-08 23:50:06 UTC
0421.5Sqm.Up.2,2.016666667,2021-04-08 23:50:06 UTC
0421.5Sqm.Up.3,2.016666667,2021-04-08 23:50:06 UTC
0521.1Prt.Dn.1,2.02,2021-05-10 16:23:13 UTC
0521.1Prt.Dn.2,2.02,2021-05-10 16:23:13 UTC
0521.1Prt.Dn.3,2.02,2021-05-10 16:23:13 UTC
0521.1Prt.Up.1,2.02,2021-05-10 16:44:21 UTC
0521.1Prt.Up.2,2.02,2021-05-10 16:44:21 UTC
0521.1Prt.Up.3,2.02,2021-05-10 16:44:21 UTC
0521.2Brn.Dn.1,2.01,2021-05-10 17:46:47 UTC
0521.2Brn.Dn.2,2.01,2021-05-10 17:46:47 UTC
0521.2Brn.Dn.3,2.01,2021-05-10 17:46:47 UTC
0521.2Brn.Up.1,2.01,2021-05-10 18:14:20 UTC
0521.2Brn.Up.2,2.01,2021-05-10 18:14:20 UTC
0521.2Brn.Up.3,2.01,2021-05-10 18:14:20 UTC
0521.3Chk.Dn.1,2.023333333,2021-05-10 18:49:41 UTC
0521.3Chk.Dn.2,2.023333333,2021-05-10 18:49:41 UTC
0521.3Chk.Dn.3,2.023333333,2021-05-10 18:49:41 UTC
0521.3Chk.Up.1,2.13,2021-05-10 19:07:07 UTC
0521.3Chk.Up.2,1.93,2021-05-10 19:12:02 UTC
0521.3Chk.Up.3,1.93,2021-05-10 19:14:34 UTC
0521.4Pad.Dn.1,2.013333333,2021-05-10 21:01:31 UTC
0521.4Pad.Dn.2,2.013333333,2021-05-10 21:01:31 UTC
0521.4Pad.Dn.3,2.013333333,2021-05-10 21:01:31 UTC
0521.4Pad.Up11.1,2.01,2021-05-10 21:16:25 UTC
0521.4Pad.Up11.2,2.01,2021-05-10 21:16:25 UTC
0521.4Pad.Up11.3,2.01,2021-05-10 21:16:25 UTC
0521.4Pad.Up5.1,2.016666667,2021-05-10 21:47:14 UTC
0521.4Pad.Up5.2,2.016666667,2021-05-10 21:47:14 UTC
0521.4Pad.Up5.3,2.016666667,2021-05-10 21:47:14 UTC
0521.5Sqm.Dn.1,2.016666667,2021-05-10 22:32:57 UTC
