"Plate","Ct","dilution","Adj_Vol","Sample"
1,33.2118682861328,1,2,"0321.2Brn.Dn.3"
1,33.2286720275879,1,2,"0321.2Brn.Dn.3"
1,32.5608558654785,1,2,"0321.2Brn.Dn.3"
1,36.7558746337891,100,2,"0321.1Prt.Dn.3"
1,37.6546211242676,100,2,"0321.1Prt.Dn.3"
1,NA,100,2,"0321.1Prt.Dn.3"
1,34.1763954162598,100,1.99,"0321.1Prt.Up.2"
1,33.6122512817383,100,1.99,"0321.1Prt.Up.2"
1,35.4922256469727,100,1.99,"0321.1Prt.Up.2"
1,36.6788330078125,10,2.03,"0321.3Chk.Dn.1"
1,NA,10,2.03,"0321.3Chk.Dn.1"
1,37.3607139587402,10,2.03,"0321.3Chk.Dn.1"
1,33.7808227539062,1,2,"0321.3Chk.Dn.2"
1,33.8706321716309,1,2,"0321.3Chk.Dn.2"
1,33.2807579040527,1,2,"0321.3Chk.Dn.2"
1,31.1462593078613,1,1.99,"0321.2Brn.Dn.1"
1,30.5725250244141,1,1.99,"0321.2Brn.Dn.1"
1,30.9686946868896,1,1.99,"0321.2Brn.Dn.1"
1,36.4805335998535,10,2.01,"0321.3Chk.Dn.3"
1,36.7302398681641,10,2.01,"0321.3Chk.Dn.3"
1,NA,10,2.01,"0321.3Chk.Dn.3"
1,34.0580825805664,1,1.94,"0321.2Brn.Dn.2"
1,35.1206893920898,1,1.94,"0321.2Brn.Dn.2"
1,34.2606506347656,1,1.94,"0321.2Brn.Dn.2"
1,35.8698501586914,10,2.01,"0321.3Chk.Up.1"
1,34.9012870788574,10,2.01,"0321.3Chk.Up.1"
1,37.1122283935547,10,2.01,"0321.3Chk.Up.1"
2,34.0798606872559,100,1.97,"0421.1Prt.Dn.1"
2,34.099723815918,100,1.97,"0421.1Prt.Dn.1"
2,34.4100151062012,100,1.97,"0421.1Prt.Dn.1"
2,37.3017845153809,100,1.97,"0421.1Prt.Dn.2"
2,35.4154853820801,100,1.97,"0421.1Prt.Dn.2"
2,36.758373260498,100,1.97,"0421.1Prt.Dn.2"
3,34.8366470336914,10,2.02,"0521.1Prt.Up.2"
3,33.8421745300293,10,2.02,"0521.1Prt.Up.2"
3,33.690185546875,10,2.02,"0521.1Prt.Up.2"
3,33.5551834106445,10,2.02,"0521.1Prt.Up.3"
3,34.042366027832,10,2.02,"0521.1Prt.Up.3"
3,35.288703918457,10,2.02,"0521.1Prt.Up.3"
3,34.7987365722656,10,2.023333333,"0521.3Chk.Dn.2"
3,35.2992515563965,10,2.023333333,"0521.3Chk.Dn.2"
3,35.7068824768066,10,2.023333333,"0521.3Chk.Dn.2"
3,33.896411895752,1,2.01,"0521.2Brn.Dn.2"
3,33.2729606628418,1,2.01,"0521.2Brn.Dn.2"
3,34.1611251831055,1,2.01,"0521.2Brn.Dn.2"
3,36.2042503356934,10,2.02,"0521.1Prt.Dn.1"
3,36.7213706970215,10,2.02,"0521.1Prt.Dn.1"
3,36.9738159179688,10,2.02,"0521.1Prt.Dn.1"
3,33.0114402770996,1,2.01,"0521.2Brn.Dn.3"
3,33.1084060668945,1,2.01,"0521.2Brn.Dn.3"
3,32.9464263916016,1,2.01,"0521.2Brn.Dn.3"
3,35.5440444946289,10,1.93,"0521.3Chk.Up.2"
3,35.7311744689941,10,1.93,"0521.3Chk.Up.2"
3,35.2154731750488,10,1.93,"0521.3Chk.Up.2"
3,35.6495590209961,10,2.02,"0521.1Prt.Dn.2"
3,36.7780838012695,10,2.02,"0521.1Prt.Dn.2"
3,37.1946105957031,10,2.02,"0521.1Prt.Dn.2"
3,35.97998046875,10,1.93,"0521.3Chk.Up.3"
3,35.2299957275391,10,1.93,"0521.3Chk.Up.3"
3,36.4451751708984,10,1.93,"0521.3Chk.Up.3"
3,34.9669456481934,10,2.02,"0521.1Prt.Dn.3"
3,34.548210144043,10,2.02,"0521.1Prt.Dn.3"
3,35.4528388977051,10,2.02,"0521.1Prt.Dn.3"
3,37.2164878845215,10,2.02,"0521.1Prt.Up.1"
3,38.0398254394531,10,2.02,"0521.1Prt.Up.1"
3,38.9418983459473,10,2.02,"0521.1Prt.Up.1"
4,31.906623840332,1,2.016666667,"0521.5Sqm.Dn.1"
4,32.7876892089844,1,2.016666667,"0521.5Sqm.Dn.1"
4,31.8273639678955,1,2.016666667,"0521.5Sqm.Dn.1"
4,32.2495956420898,10,2.03,"0621.1Prt.Dn.3"
4,32.9662475585938,10,2.03,"0621.1Prt.Dn.3"
4,32.3570899963379,10,2.03,"0621.1Prt.Dn.3"
4,30.8272647857666,1,2.016666667,"0521.5Sqm.Dn.2"
4,30.4717254638672,1,2.016666667,"0521.5Sqm.Dn.2"
4,30.3680763244629,1,2.016666667,"0521.5Sqm.Dn.2"
4,32.6430168151855,10,2.03,"0621.1Prt.Up.1"
4,33.0518646240234,10,2.03,"0621.1Prt.Up.1"
4,32.8389511108398,10,2.03,"0621.1Prt.Up.1"
4,30.4112567901611,1,2.016666667,"0521.5Sqm.Dn.3"
4,30.6383419036865,1,2.016666667,"0521.5Sqm.Dn.3"
4,30.5170154571533,1,2.016666667,"0521.5Sqm.Dn.3"
4,32.0371170043945,10,2.03,"0621.1Prt.Up.2"
4,32.6210708618164,10,2.03,"0621.1Prt.Up.2"
4,33.3491249084473,10,2.03,"0621.1Prt.Up.2"
4,28.6589069366455,1,2.03,"0621.3Chk.Dn.1"
4,28.2324409484863,1,2.03,"0621.3Chk.Dn.1"
4,28.1790294647217,1,2.03,"0621.3Chk.Dn.1"
4,30.4446220397949,1,2.016666667,"0521.5Sqm.Up.1"
4,31.0045032501221,1,2.016666667,"0521.5Sqm.Up.1"
4,30.5147590637207,1,2.016666667,"0521.5Sqm.Up.1"
4,32.6673202514648,10,2.03,"0621.1Prt.Up.3"
4,32.1382102966309,10,2.03,"0621.1Prt.Up.3"
4,32.3831787109375,10,2.03,"0621.1Prt.Up.3"
4,27.4261779785156,1,2.03,"0621.3Chk.Dn.2"
4,28.1172065734863,1,2.03,"0621.3Chk.Dn.2"
4,27.0365009307861,1,2.03,"0621.3Chk.Dn.2"
4,30.4991493225098,1,2.016666667,"0521.5Sqm.Up.2"
4,30.6561698913574,1,2.016666667,"0521.5Sqm.Up.2"
4,31.1968975067139,1,2.016666667,"0521.5Sqm.Up.2"
4,27.9199390411377,1,2.03,"0621.3Chk.Dn.3"
4,27.8320331573486,1,2.03,"0621.3Chk.Dn.3"
4,28.1393547058105,1,2.03,"0621.3Chk.Dn.3"
4,30.371223449707,1,2.016666667,"0521.5Sqm.Up.3"
4,30.7472667694092,1,2.016666667,"0521.5Sqm.Up.3"
4,30.5784950256348,1,2.016666667,"0521.5Sqm.Up.3"
4,NA,1,2.033333333,"0621.2Brn.Dn.2"
4,29.4443244934082,1,2.033333333,"0621.2Brn.Dn.2"
4,28.6156902313232,1,2.033333333,"0621.2Brn.Dn.2"
4,27.5943431854248,1,2.026666667,"0621.3Chk.Up.1"
4,28.4311447143555,1,2.026666667,"0621.3Chk.Up.1"
4,28.506628036499,1,2.026666667,"0621.3Chk.Up.1"
4,34.5782432556152,10,2.03,"0621.1Prt.Dn.1"
4,32.9943237304688,10,2.03,"0621.1Prt.Dn.1"
4,33.7303924560547,10,2.03,"0621.1Prt.Dn.1"
4,34.4006309509277,10,2.03,"0621.1Prt.Dn.2"
4,34.6175575256348,10,2.03,"0621.1Prt.Dn.2"
4,33.9326171875,10,2.03,"0621.1Prt.Dn.2"
5,33.359375,10,2.023333333,"0621.5Sqm.Dn.1"
5,33.010814666748,10,2.023333333,"0621.5Sqm.Dn.1"
5,32.9285774230957,10,2.023333333,"0621.5Sqm.Dn.1"
5,33.7839660644531,10,2.023333333,"0621.5Sqm.Dn.2"
5,33.727912902832,10,2.023333333,"0621.5Sqm.Dn.2"
5,33.9375991821289,10,2.023333333,"0621.5Sqm.Dn.2"
5,29.1010665893555,1,2.03,"0721.3Chk.Dn.1"
5,27.9401893615723,1,2.03,"0721.3Chk.Dn.1"
5,28.1057434082031,1,2.03,"0721.3Chk.Dn.1"
5,33.0333595275879,10,2.006666667,"0621.5Sqm.Up.1"
