daysampletoavg,pad_flowm3s,flow_chk_by_padden,flow_sqm_by_padden,flow_brn_by_padden,flow_prt_by_padden
3/10/21,0.158574343,0.252590899,0.527782551,0.158574343,0.158574343
4/8/21,0.178396136,0.251700502,0.516448138,0.178396136,0.178396136
5/10/21,0.031148532,0.050204731,0.080763601,0.031148532,0.031148532
6/11/21,0.008495054,0.016632006,0.027941625,0.008495054,0.008495054
7/12/21,0.005663369,0.008198692,0.016821294,0.005663369,0.005663369
8/11/21,0.002831685,0.004647512,0.009434879,0.002831685,0.002831685
9/10/21,0.005663369,0.005324737,0.015487608,0.005663369,0.005663369
10/12/21,0.028316847,0.032345001,0.100277866,0.028316847,0.028316847
11/10/21,0.512534931,0.901797467,2.12774812,0.512534931,0.512534931
12/10/21,0.679604328,1.234971017,2.944796386,0.679604328,0.679604328
1/13/22,1.257268007,1.901025288,4.800839897,1.257268007,1.257268007
2/10/22,0.328475425,0.499205064,1.308733007,0.328475425,0.328475425
3/10/22,0.158574343,0.252590899,0.527782551,0.158574343,0.158574343
4/8/22,0.178396136,0.251700502,0.516448138,0.178396136,0.178396136
5/10/22,0.031148532,0.050204731,0.080763601,0.031148532,0.031148532
6/11/22,0.008495054,0.016632006,0.027941625,0.008495054,0.008495054
7/12/22,0.005663369,0.008198692,0.016821294,0.005663369,0.005663369
8/11/22,0.002831685,0.004647512,0.009434879,0.002831685,0.002831685
12/10/22,0.679604328,1.234971017,2.944796386,0.679604328,0.679604328
