"daysampletoavg","pad_flowm3s","flow_chk_by_padden","flow_sqm_by_padden","flow_brn_by_padden","flow_prt_by_padden"
2021-03-10,0.1585743432,0.228537378616161,0.47752330428079,0.1585743432,0.1585743432
2021-04-08,0.1783961361,0.229144050282244,0.470165999520923,0.1783961361,0.1783961361
2021-05-10,0.0311485317,0.0300949126576474,0.0484132359834774,0.0311485317,0.0311485317
2021-06-11,0.0084950541,0.00896840996207517,0.0150668503738838,0.0084950541,0.0084950541
2021-07-12,0.0056633694,0.0046671158198866,0.00957554327850607,0.0056633694,0.0056633694
2021-08-11,0.0028316847,0.00247027825940338,0.00501489303065682,0.0028316847,0.0028316847
2021-09-10,0.0056633694,0.00668731450362735,0.0194508227828131,0.0056633694,0.0056633694
2021-10-12,0.028316847,0.0403195008093733,0.125000876227177,0.028316847,0.028316847
2021-11-10,0.5125349307,0.920047685531885,2.17080864035605,0.5125349307,0.5125349307
2021-12-10,0.679604328,1.37993120943758,3.29045490450713,0.679604328,0.679604328
2022-01-13,1.2232877904,1.7525982505263,4.4260029875552,1.2232877904,1.2232877904
2022-02-10,NA,NA,NA,NA,NA
2022-03-15,0.509703246,0.734584431266231,1.53489633518825,0.509703246,0.509703246
2022-04-15,0.1330891809,0.170948735924848,0.350758761547355,0.1330891809,0.1330891809
2022-05-15,1.0533867084,1.01775522805862,1.63724761689578,1.0533867084,1.0533867084
2022-06-15,0.2123763525,0.224210249051879,0.376671259347096,0.2123763525,0.2123763525
2022-07-15,0.0141584235,0.0116677895497165,0.0239388581962652,0.0141584235,0.0141584235
2022-08-15,0.0141584235,0.0123513912970169,0.0250744651532841,0.0141584235,0.0141584235
2022-12-15,0.1076040186,0.21848910816095,0.520988693213628,0.1076040186,0.1076040186
