"creek","yearplot","monthplot","meanmonthflow","dayplot","timestring","timeplot"
"Padden",2021,1,0.914054513339462,15,"2021-1-15 12:00",2021-01-15 12:00:00
"Padden",2021,2,0.555709817340098,15,"2021-2-15 12:00",2021-02-15 12:00:00
"Padden",2021,3,0.442400587465055,15,"2021-3-15 12:00",2021-03-15 12:00:00
"Padden",2021,4,0.113200515967182,15,"2021-4-15 12:00",2021-04-15 12:00:00
"Padden",2021,5,0.0296023328970766,15,"2021-5-15 12:00",2021-05-15 12:00:00
"Padden",2021,6,0.0138742718061458,15,"2021-6-15 12:00",2021-06-15 12:00:00
"Padden",2021,7,NA,15,"2021-7-15 12:00",2021-07-15 12:00:00
"Padden",2021,8,0.0074254126618887,15,"2021-8-15 12:00",2021-08-15 12:00:00
"Padden",2021,9,0.051294788471875,15,"2021-9-15 12:00",2021-09-15 12:00:00
"Padden",2021,10,0.129935778745008,15,"2021-10-15 12:00",2021-10-15 12:00:00
"Padden",2021,11,1.53210683404548,15,"2021-11-15 12:00",2021-11-15 12:00:00
"Padden",2021,12,1.04774427215302,15,"2021-12-15 12:00",2021-12-15 12:00:00
"Padden",2022,1,0.914054513339462,15,"2022-1-15 12:00",2022-01-15 12:00:00
"Padden",2022,2,0.555709817340098,15,"2022-2-15 12:00",2022-02-15 12:00:00
"Padden",2022,3,0.442400587465055,15,"2022-3-15 12:00",2022-03-15 12:00:00
"Padden",2022,4,0.113200515967182,15,"2022-4-15 12:00",2022-04-15 12:00:00
"Chuckanut",2021,1,1.03657706893581,15,"2021-1-15 12:00",2021-01-15 12:00:00
"Chuckanut",2021,2,0.925275968961483,15,"2021-2-15 12:00",2021-02-15 12:00:00
"Chuckanut",2021,3,0.370506341951714,15,"2021-3-15 12:00",2021-03-15 12:00:00
"Chuckanut",2021,4,NA,15,"2021-4-15 12:00",2021-04-15 12:00:00
"Chuckanut",2021,5,0.0530455612702621,15,"2021-5-15 12:00",2021-05-15 12:00:00
"Chuckanut",2021,6,0.0218796804267708,15,"2021-6-15 12:00",2021-06-15 12:00:00
"Chuckanut",2021,7,0.00711166658896848,15,"2021-7-15 12:00",2021-07-15 12:00:00
"Chuckanut",2021,8,0.00565004830262097,15,"2021-8-15 12:00",2021-08-15 12:00:00
"Chuckanut",2021,9,0.0282372646502299,15,"2021-9-15 12:00",2021-09-15 12:00:00
"Chuckanut",2021,10,0.347928757922169,15,"2021-10-15 12:00",2021-10-15 12:00:00
"Chuckanut",2021,11,NA,15,"2021-11-15 12:00",2021-11-15 12:00:00
"Chuckanut",2022,4,NA,15,"2022-4-15 12:00",2022-04-15 12:00:00
"Squalicum",2021,1,2.57279908052181,15,"2021-1-15 12:00",2021-01-15 12:00:00
"Squalicum",2021,2,3.36549413684453,15,"2021-2-15 12:00",2021-02-15 12:00:00
"Squalicum",2021,3,0.743680709407056,15,"2021-3-15 12:00",2021-03-15 12:00:00
"Squalicum",2021,4,NA,15,"2021-4-15 12:00",2021-04-15 12:00:00
"Squalicum",2021,5,0.10341502889758,15,"2021-5-15 12:00",2021-05-15 12:00:00
"Squalicum",2021,6,0.0879475220966643,15,"2021-6-15 12:00",2021-06-15 12:00:00
"Squalicum",2021,7,0.0145305877748571,15,"2021-7-15 12:00",2021-07-15 12:00:00
"Squalicum",2021,8,0.0118215224169355,15,"2021-8-15 12:00",2021-08-15 12:00:00
"Squalicum",2021,9,0.173070012481979,15,"2021-9-15 12:00",2021-09-15 12:00:00
"Squalicum",2021,10,0.531314823483569,15,"2021-10-15 12:00",2021-10-15 12:00:00
"Squalicum",2021,11,NA,15,"2021-11-15 12:00",2021-11-15 12:00:00
"Squalicum",2022,4,NA,15,"2022-4-15 12:00",2022-04-15 12:00:00
